relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,87.53116167037062,-33.316065502172,,67.5011142282691,89.0722856377557,0.0099,9.0,2.9737275523415985
-29.5,,,,,,,0.0099,9.0,2.9737275523415985
-29.0,,,,,,,0.0099,9.0,2.9737275523415985
-28.5,,,,,,,0.0099,9.0,2.9737275523415985
-28.0,,114.4828743029728,44.32232370580877,,83.8675518452393,75.7517498535461,0.0099,9.0,2.9737275523415985
-27.5,,,,,,,0.0099,9.0,2.9737275523415985
-27.0,,,,,,,0.0099,9.0,2.9737275523415985
-26.5,,,,,,,0.0099,9.0,2.9737275523415985
-26.0,,56.62311581048057,36.375876386211,,39.6040358663084,45.4911052329981,0.0099,9.0,2.9737275523415985
-25.5,,,,,,,0.0099,9.0,2.9737275523415985
-25.0,,,,,,,0.0099,9.0,2.9737275523415985
-24.5,,,,,,,0.0099,9.0,2.9737275523415985
-24.0,,,,,,,0.0099,9.0,2.9737275523415985
-23.5,,,,,,,0.0099,9.0,2.9737275523415985
-23.0,,,,,,,0.0099,9.0,2.9737275523415985
-22.5,,,,,,,0.0099,9.0,2.9737275523415985
-22.0,,,,,,,0.0099,9.0,2.9737275523415985
-21.5,,,,,,,0.0099,9.0,2.9737275523415985
-21.0,,34.18660120619425,-4.122943694621699,,33.4631822193762,25.4153366542951,0.0099,9.0,2.9737275523415985
-20.5,,,,,,,0.0099,9.0,2.9737275523415985
-20.0,,,,,,,0.0099,9.0,2.9737275523415985
-19.5,,,,,,,0.0099,9.0,2.9737275523415985
-19.0,,,24.001433033901712,,,30.6852306578361,0.0099,9.0,2.9737275523415985
-18.5,,,,,,,0.0099,9.0,2.9737275523415985
-18.0,,,,,,,0.0099,9.0,2.9737275523415985
-17.5,,,,,,,0.0099,9.0,2.9737275523415985
-17.0,,,-48.83502053350196,,,25.0460522481444,0.0099,9.0,2.9737275523415985
-16.5,,,,,,,0.0099,9.0,2.9737275523415985
-16.0,,,,,,,0.0099,9.0,2.9737275523415985
-15.5,,,,,,,0.0099,9.0,2.9737275523415985
-15.0,,41.28653255213868,39.24958323930631,,35.0183611900637,25.0498471914278,0.0099,9.0,2.9737275523415985
-14.5,,,,,,,0.0099,9.0,2.9737275523415985
-14.0,,,,,,,0.0099,9.0,2.9737275523415985
-13.5,,,,,,,0.0099,9.0,2.9737275523415985
-13.0,,,15.56329714217576,,,21.8539554726917,0.0099,9.0,2.9737275523415985
-12.5,-55.27192292538613,,,170.9856544709585,,,0.0099,9.0,2.9737275523415985
-12.0,-63.396253328399474,,,165.5617290962799,,,0.0099,9.0,2.9737275523415985
-11.5,-130.46378023343723,,,165.35604502971051,,,0.0099,9.0,2.9737275523415985
-11.0,-34.8528204336118,-13.249903079995013,14.446352902737893,165.307588292481,24.2181413823136,20.6066555939366,0.0099,9.0,2.9737275523415985
-10.5,-33.18731705169527,,,166.11099563172036,,,0.0099,9.0,2.9737275523415985
-10.0,-68.5903560223723,,,164.0627355068757,,,0.0099,9.0,2.9737275523415985
-9.5,-58.382956230598445,,,164.74193655112828,,,0.0099,9.0,2.9737275523415985
-9.0,-0.20164927775249097,,,163.30487664581742,,,0.0099,9.0,2.9737275523415985
-8.5,1.4061382074860465,,,163.33188108546594,,,0.0099,9.0,2.9737275523415985
-8.0,71.8866791536121,,,161.48462280515037,,,0.0099,9.0,2.9737275523415985
-7.5,57.822769960012984,,,162.3387449945017,,,0.0099,9.0,2.9737275523415985
-7.0,43.335930078832185,161.90657809985672,5.35708997634789,164.88896353230803,78.3271708118535,45.1415473229019,0.0099,9.0,2.9737275523415985
-6.5,120.01497666481762,,,163.98038843553036,,,0.0099,9.0,2.9737275523415985
-6.0,142.77364269779486,127.11218359909985,,165.32852529969824,57.3471166756948,,0.0099,9.0,2.9737275523415985
-5.5,185.5618594288251,,,163.9303583610828,,,0.0099,9.0,2.9737275523415985
-5.0,211.38237127277358,186.10734038456695,-41.71310211653263,163.47148908525176,89.6094334034829,89.6396695075555,0.0099,9.0,2.9737275523415985
-4.5,95.80563436997895,,,160.7949131458845,,,0.0099,9.0,2.9737275523415985
