relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0426,12.9,4.619729429306439
-29.5,,,,,,,0.0426,12.9,4.619729429306439
-29.0,,,,,,,0.0426,12.9,4.619729429306439
-28.5,,,,,,,0.0426,12.9,4.619729429306439
-28.0,,,,,,,0.0426,12.9,4.619729429306439
-27.5,,,,,,,0.0426,12.9,4.619729429306439
-27.0,,,,,,,0.0426,12.9,4.619729429306439
-26.5,,,,,,,0.0426,12.9,4.619729429306439
-26.0,,,,,,,0.0426,12.9,4.619729429306439
-25.5,,,,,,,0.0426,12.9,4.619729429306439
-25.0,,-17.782555785104883,36.81795326794007,,20.8025380404463,23.8843606985381,0.0426,12.9,4.619729429306439
-24.5,,,,,,,0.0426,12.9,4.619729429306439
-24.0,,,,,,,0.0426,12.9,4.619729429306439
-23.5,,,,,,,0.0426,12.9,4.619729429306439
-23.0,,-18.345726853659745,-26.28574061562877,,24.5276150617766,24.6715627313104,0.0426,12.9,4.619729429306439
-22.5,,,,,,,0.0426,12.9,4.619729429306439
-22.0,,,,,,,0.0426,12.9,4.619729429306439
-21.5,,,,,,,0.0426,12.9,4.619729429306439
-21.0,,,,,,,0.0426,12.9,4.619729429306439
-20.5,,,,,,,0.0426,12.9,4.619729429306439
-20.0,,-45.11502850349178,20.253859368404257,,21.5745974555374,24.2494539094614,0.0426,12.9,4.619729429306439
-19.5,,,,,,,0.0426,12.9,4.619729429306439
-19.0,,,,,,,0.0426,12.9,4.619729429306439
-18.5,,,,,,,0.0426,12.9,4.619729429306439
-18.0,,6.8865060410499686,-10.843329836323813,,24.8416118724827,21.929706516927,0.0426,12.9,4.619729429306439
-17.5,,,,,,,0.0426,12.9,4.619729429306439
-17.0,,,,,,,0.0426,12.9,4.619729429306439
-16.5,,,,,,,0.0426,12.9,4.619729429306439
-16.0,,-4.041789908570026,-1.159729299797674,,22.7478604797631,20.462772237315,0.0426,12.9,4.619729429306439
-15.5,,,,,,,0.0426,12.9,4.619729429306439
-15.0,,,,,,,0.0426,12.9,4.619729429306439
-14.5,,,,,,,0.0426,12.9,4.619729429306439
-14.0,,-16.18557701106301,-23.301129849818384,,22.2011274997008,25.9082773610783,0.0426,12.9,4.619729429306439
-13.5,,,,,,,0.0426,12.9,4.619729429306439
-13.0,,,,,,,0.0426,12.9,4.619729429306439
-12.5,,,,,,,0.0426,12.9,4.619729429306439
-12.0,,-35.89585679231894,-34.07596881741772,,23.4865456174482,23.5649540955997,0.0426,12.9,4.619729429306439
-11.5,,,,,,,0.0426,12.9,4.619729429306439
-11.0,,,,,,,0.0426,12.9,4.619729429306439
-10.5,-49.91723402397763,,,239.5976003856392,,,0.0426,12.9,4.619729429306439
-10.0,-41.28694021468003,64.43265938204509,-63.740783997388085,236.50130426903695,38.9013833541014,33.3669814085755,0.0426,12.9,4.619729429306439
-9.5,-19.48430373397936,,,236.22852938002615,,,0.0426,12.9,4.619729429306439
-9.0,-24.282371095114257,,,234.7037108474307,,,0.0426,12.9,4.619729429306439
-8.5,-54.77594894483609,,,235.68680584498495,,,0.0426,12.9,4.619729429306439
-8.0,-9.146681653025686,,,234.64398600552602,,,0.0426,12.9,4.619729429306439
-7.5,2.9967746174091516,,,234.6425066382855,,,0.0426,12.9,4.619729429306439
-7.0,43.147078018877544,-49.96963640449387,68.69928728503142,234.22381182769914,61.1370404166864,79.4287116480511,0.0426,12.9,4.619729429306439
-6.5,55.340963893403334,,,234.07467573956063,,,0.0426,12.9,4.619729429306439
-6.0,-18.483345171824233,,,234.8071360976181,,,0.0426,12.9,4.619729429306439
-5.5,144.40590268370354,,,235.23540805170853,,,0.0426,12.9,4.619729429306439
-5.0,171.68323072265076,,,233.44161291876603,,,0.0426,12.9,4.619729429306439
-4.5,118.43000901675835,,,232.99407545616165,,,0.0426,12.9,4.619729429306439
-4.0,187.5257960137679,,,235.21390494929003,,,0.0426,12.9,4.619729429306439
-3.5,186.40735237652925,,,234.93259771710237,,,0.0426,12.9,4.619729429306439
-3.0,212.31293796879473,,,235.58145015628094,,,0.0426,12.9,4.619729429306439
-2.5,280.3401043639852,,,237.64198436196972,,,0.0426,12.9,4.619729429306439
-2.0,220.23172472974989,,,241.73779953317242,,,0.0426,12.9,4.619729429306439
-1.5,457.74863759436477,,,243.96143794341768,,,0.0426,12.9,4.619729429306439
-1.0,,,,,,,0.0426,12.9,4.619729429306439
-0.5,,,,,,,0.0426,12.9,4.619729429306439
0.0,,216.7462037388202,335.9737961341033,,35.0614987096518,44.2373584089189,0.0426,12.9,4.619729429306439
0.5,,,,,,,0.0426,12.9,4.619729429306439
1.0,,,,,,,0.0426,12.9,4.619729429306439
1.5,,,,,,,0.0426,12.9,4.619729429306439
2.0,,255.79753442924363,,,43.1949168640393,,0.0426,12.9,4.619729429306439
2.5,83.16745284368933,,,233.45411984670034,,,0.0426,12.9,4.619729429306439
3.0,244.6092037747765,,,232.0755335782253,,,0.0426,12.9,4.619729429306439
3.5,352.8127031264673,,,236.24595392157872,,,0.0426,12.9,4.619729429306439
4.0,329.6042196399269,426.9439000104632,400.1795394257618,234.46588496623124,31.7632150260597,31.3974598392441,0.0426,12.9,4.619729429306439
4.5,321.763513351267,,,234.39232563141064,,,0.0426,12.9,4.619729429306439
5.0,436.4910931535237,,,233.534281989685,,,0.0426,12.9,4.619729429306439
5.5,327.45157409493294,,,231.98042371124376,,,0.0426,12.9,4.619729429306439
6.0,435.8008656530283,361.3154216128692,,233.05702853820824,28.0472246056345,,0.0426,12.9,4.619729429306439
6.5,384.4287294026563,,,236.98366377072773,,,0.0426,12.9,4.619729429306439
7.0,378.2241454214157,,,234.77382247185176,,,0.0426,12.9,4.619729429306439
7.5,326.05355259571337,,,232.42507256660787,,,0.0426,12.9,4.619729429306439
8.0,413.2348212716441,,,232.78615725718467,,,0.0426,12.9,4.619729429306439
8.5,384.80314369494573,,,231.8059019968778,,,0.0426,12.9,4.619729429306439
9.0,334.417512359327,,,232.7932010621356,,,0.0426,12.9,4.619729429306439
9.5,330.69314068584794,,,233.95563306778124,,,0.0426,12.9,4.619729429306439
10.0,373.79178006984586,,,230.6606018320135,,,0.0426,12.9,4.619729429306439
10.5,415.70525515655726,,,236.7314870004691,,,0.0426,12.9,4.619729429306439
11.0,397.13140363290097,,,236.33438106918993,,,0.0426,12.9,4.619729429306439
11.5,419.45801273328624,,,236.13303922343067,,,0.0426,12.9,4.619729429306439
12.0,414.1769249274195,391.32268859704226,407.6732215957683,234.85227873923532,33.9989416977448,28.0172139372495,0.0426,12.9,4.619729429306439
12.5,450.2282115642596,,,237.38481620892816,,,0.0426,12.9,4.619729429306439
13.0,393.9768325656946,,,238.86480908496492,,,0.0426,12.9,4.619729429306439
13.5,,,,,,,0.0426,12.9,4.619729429306439
14.0,,403.7284374088713,,,28.7259970788268,,0.0426,12.9,4.619729429306439
14.5,,,,,,,0.0426,12.9,4.619729429306439
15.0,,,,,,,0.0426,12.9,4.619729429306439
15.5,,,,,,,0.0426,12.9,4.619729429306439
16.0,,,,,,,0.0426,12.9,4.619729429306439
16.5,,,,,,,0.0426,12.9,4.619729429306439
17.0,,,,,,,0.0426,12.9,4.619729429306439
17.5,,,,,,,0.0426,12.9,4.619729429306439
18.0,,387.8307025724608,373.9210160523538,,37.4749708679574,36.6921674246084,0.0426,12.9,4.619729429306439
18.5,,,,,,,0.0426,12.9,4.619729429306439
19.0,,,,,,,0.0426,12.9,4.619729429306439
19.5,,,,,,,0.0426,12.9,4.619729429306439
20.0,,420.07874865165314,411.7227920949751,,55.3307659919482,55.3878119702677,0.0426,12.9,4.619729429306439
20.5,,,,,,,0.0426,12.9,4.619729429306439
21.0,,,,,,,0.0426,12.9,4.619729429306439
21.5,,,,,,,0.0426,12.9,4.619729429306439
22.0,,,,,,,0.0426,12.9,4.619729429306439
22.5,,,,,,,0.0426,12.9,4.619729429306439
23.0,,,,,,,0.0426,12.9,4.619729429306439
23.5,,,,,,,0.0426,12.9,4.619729429306439
24.0,,,,,,,0.0426,12.9,4.619729429306439
24.5,,,,,,,0.0426,12.9,4.619729429306439
25.0,,,,,,,0.0426,12.9,4.619729429306439
25.5,,,,,,,0.0426,12.9,4.619729429306439
26.0,,,161.05065565223538,,,85.54575361846,0.0426,12.9,4.619729429306439
26.5,,,,,,,0.0426,12.9,4.619729429306439
27.0,,,,,,,0.0426,12.9,4.619729429306439
27.5,,,,,,,0.0426,12.9,4.619729429306439
28.0,,,,,,,0.0426,12.9,4.619729429306439
28.5,,,,,,,0.0426,12.9,4.619729429306439
29.0,,,,,,,0.0426,12.9,4.619729429306439
