relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-29.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-29.0,,22.32342926195388,-20.843101546216676,,37.6774790739925,41.7688938142452,0.0896,9.299999999999995,1.633931863124449
-28.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-28.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-27.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-27.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-26.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-26.0,,,-25.420539783092995,,,34.427090441547,0.0896,9.299999999999995,1.633931863124449
-25.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-25.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-24.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-24.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-23.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-23.0,,21.592013066518007,-36.671688303010704,,20.2639518971897,18.6789845389703,0.0896,9.299999999999995,1.633931863124449
-22.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-22.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-21.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-21.0,,,-7.389443291708159,,,22.4283367045038,0.0896,9.299999999999995,1.633931863124449
-20.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-20.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-19.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-19.0,,-23.423045150653973,7.835200749490451,,23.5109674604248,23.1381472785791,0.0896,9.299999999999995,1.633931863124449
-18.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-18.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-17.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-17.0,,8.167270971503157,-34.04098730502287,,22.9860559088094,20.5997310258965,0.0896,9.299999999999995,1.633931863124449
-16.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-16.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-15.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-15.0,,14.589615771887269,16.717978334495278,,19.7639000262688,19.8838149834855,0.0896,9.299999999999995,1.633931863124449
-14.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-14.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-13.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-13.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-12.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-12.0,,-17.166072536225197,,,23.3284985749904,,0.0896,9.299999999999995,1.633931863124449
-11.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-11.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-10.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-10.0,,-6.580585699827816,25.983893731939038,,25.0482237140843,21.3613161530046,0.0896,9.299999999999995,1.633931863124449
-9.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
-9.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
-8.5,-148.48561411218293,,,274.8404837678549,,,0.0896,9.299999999999995,1.633931863124449
-8.0,18.74774602890878,96.62650709643712,2.881606807660178,274.7102193928363,42.5634787164946,42.7620598879819,0.0896,9.299999999999995,1.633931863124449
-7.5,99.04461827875141,,,275.47833586453453,,,0.0896,9.299999999999995,1.633931863124449
-7.0,-71.35094468257162,,,275.36979869472356,,,0.0896,9.299999999999995,1.633931863124449
-6.5,-56.135978078240456,,,276.43604298793105,,,0.0896,9.299999999999995,1.633931863124449
-6.0,136.05870271524873,38.116608404688385,-126.45583910462496,277.7605217366201,71.5815153524516,74.9660763233728,0.0896,9.299999999999995,1.633931863124449
-5.5,196.10076762521413,,,277.6624924989237,,,0.0896,9.299999999999995,1.633931863124449
-5.0,113.6086677493523,,,276.2581689225852,,,0.0896,9.299999999999995,1.633931863124449
-4.5,216.6776555743669,,,277.3892926711663,,,0.0896,9.299999999999995,1.633931863124449
-4.0,110.26081773922395,,,277.69068830554187,,,0.0896,9.299999999999995,1.633931863124449
-3.5,276.14737537028077,,,278.91901032219647,,,0.0896,9.299999999999995,1.633931863124449
-3.0,106.66300614907458,,,280.86694144470533,,,0.0896,9.299999999999995,1.633931863124449
-2.5,167.30441318280228,,,281.8623331139255,,,0.0896,9.299999999999995,1.633931863124449
-2.0,151.09209255602772,,211.8892861079559,283.68898202497786,,79.5371073005118,0.0896,9.299999999999995,1.633931863124449
-1.5,188.82571256329692,,,287.0333726313004,,,0.0896,9.299999999999995,1.633931863124449
-1.0,356.89111323679936,,,290.67788919322567,,,0.0896,9.299999999999995,1.633931863124449
-0.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
0.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
0.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
1.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
1.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
2.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
2.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
3.0,,188.93141384528633,195.88495186839768,,51.855657264604,35.4944748267333,0.0896,9.299999999999995,1.633931863124449
3.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
4.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
4.5,509.8518282285428,,,287.9427030725028,,,0.0896,9.299999999999995,1.633931863124449
5.0,547.1740111695794,,,285.28660327797223,,,0.0896,9.299999999999995,1.633931863124449
5.5,557.3154099329513,,,286.10575231941135,,,0.0896,9.299999999999995,1.633931863124449
6.0,441.0203829960626,529.6965705723236,549.0582470243721,285.66576476730904,27.3001773946343,27.6372200415781,0.0896,9.299999999999995,1.633931863124449
6.5,430.3925935929501,,,285.0593709855102,,,0.0896,9.299999999999995,1.633931863124449
7.0,490.45478470346734,,,285.64764046647446,,,0.0896,9.299999999999995,1.633931863124449
7.5,381.44009933717695,,,285.5551800549929,,,0.0896,9.299999999999995,1.633931863124449
8.0,459.6789962259639,,506.6541517570422,286.67352034006944,,22.5328692130754,0.0896,9.299999999999995,1.633931863124449
8.5,480.92880656290356,,,283.72056166381435,,,0.0896,9.299999999999995,1.633931863124449
9.0,511.4004253930306,,,282.80562082964514,,,0.0896,9.299999999999995,1.633931863124449
9.5,477.5075237132226,,,283.2394917628368,,,0.0896,9.299999999999995,1.633931863124449
10.0,748.2728396447858,,,283.42960836713786,,,0.0896,9.299999999999995,1.633931863124449
10.5,505.19681094364313,,,280.81269315536457,,,0.0896,9.299999999999995,1.633931863124449
11.0,544.5582777742136,,,279.56215226333325,,,0.0896,9.299999999999995,1.633931863124449
11.5,365.53226333664276,,,278.1913399909477,,,0.0896,9.299999999999995,1.633931863124449
12.0,419.1286786922664,,,279.56882075881236,,,0.0896,9.299999999999995,1.633931863124449
12.5,460.16206474610317,,,281.90542864512076,,,0.0896,9.299999999999995,1.633931863124449
13.0,474.35309824961575,,,282.05051406259065,,,0.0896,9.299999999999995,1.633931863124449
13.5,549.9839269030838,,,278.6690969381449,,,0.0896,9.299999999999995,1.633931863124449
14.0,603.9863765217619,,,277.867637924386,,,0.0896,9.299999999999995,1.633931863124449
14.5,622.8903754844582,,,277.65776988078665,,,0.0896,9.299999999999995,1.633931863124449
15.0,566.4806616298035,477.8044740535426,396.00883958744356,280.1590054181992,34.8622695827952,36.556124662316,0.0896,9.299999999999995,1.633931863124449
15.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
16.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
16.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
17.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
17.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
18.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
18.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
19.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
19.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
20.0,,238.27589639310006,286.3212543756053,,47.5850220239552,39.3719233871058,0.0896,9.299999999999995,1.633931863124449
20.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
21.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
21.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
22.0,,,439.88801600632803,,,72.0179492748866,0.0896,9.299999999999995,1.633931863124449
22.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
23.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
23.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
24.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
24.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
25.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
25.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
26.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
26.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
27.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
27.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
28.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
28.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
29.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
29.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
30.0,,,194.72489556418572,,,36.2391107390472,0.0896,9.299999999999995,1.633931863124449
30.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
31.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
31.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
32.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
32.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
33.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
33.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
34.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
34.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
35.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
35.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
36.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
36.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
37.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
37.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
38.0,,246.6205312369813,,,28.4174631785991,,0.0896,9.299999999999995,1.633931863124449
38.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
39.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
39.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
40.0,,182.29392523817376,98.15293561565541,,25.4079841916573,23.628817891296,0.0896,9.299999999999995,1.633931863124449
40.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
41.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
41.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
42.0,,212.70518800299618,103.42031258841651,,24.5102001878144,22.0940468409518,0.0896,9.299999999999995,1.633931863124449
42.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
43.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
43.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
44.0,,206.9285995310388,110.38122567393688,,25.0059566341018,20.2444911202875,0.0896,9.299999999999995,1.633931863124449
44.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
45.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
45.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
46.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
46.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
47.0,,155.2713895490898,72.25942978579916,,30.4926147896207,45.5455615965164,0.0896,9.299999999999995,1.633931863124449
47.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
48.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
48.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
49.0,,103.89933355412317,70.78631478706289,,46.8630760248412,81.8683631691601,0.0896,9.299999999999995,1.633931863124449
49.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
50.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
50.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
51.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
51.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
52.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
52.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
53.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
53.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
54.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
54.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
55.0,,159.35144429250218,51.32293721973054,,50.8084865224788,90.4011835105767,0.0896,9.299999999999995,1.633931863124449
55.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
56.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
56.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
57.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
57.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
58.0,,29.40999640933608,,,47.8355770698513,,0.0896,9.299999999999995,1.633931863124449
58.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
59.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
59.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
60.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
60.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
61.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
61.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
62.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
62.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
63.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
63.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
64.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
64.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
65.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
65.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
66.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
66.5,,,,,,,0.0896,9.299999999999995,1.633931863124449
67.0,,,,,,,0.0896,9.299999999999995,1.633931863124449
67.5,,128.30811455162663,,,31.6218267328869,,0.0896,9.299999999999995,1.633931863124449
68.0,,,-18.12359472836283,,,24.3833301356383,0.0896,9.299999999999995,1.633931863124449
