relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0372,10.0,6.387532126468459
-29.5,,,,,,,0.0372,10.0,6.387532126468459
-29.0,,,,,,,0.0372,10.0,6.387532126468459
-28.5,,,,,,,0.0372,10.0,6.387532126468459
-28.0,,,24.854882408903684,,,31.9451926615202,0.0372,10.0,6.387532126468459
-27.5,,,,,,,0.0372,10.0,6.387532126468459
-27.0,,,,,,,0.0372,10.0,6.387532126468459
-26.5,,,,,,,0.0372,10.0,6.387532126468459
-26.0,,13.109670834523875,-183.09777985876184,,72.1637130294374,96.1383907577018,0.0372,10.0,6.387532126468459
-25.5,,,,,,,0.0372,10.0,6.387532126468459
-25.0,,,,,,,0.0372,10.0,6.387532126468459
-24.5,,,,,,,0.0372,10.0,6.387532126468459
-24.0,,63.64924553634594,14.479902244625345,,64.2167825779994,76.3560884496205,0.0372,10.0,6.387532126468459
-23.5,,,,,,,0.0372,10.0,6.387532126468459
-23.0,,,,,,,0.0372,10.0,6.387532126468459
-22.5,,,,,,,0.0372,10.0,6.387532126468459
-22.0,,,,,,,0.0372,10.0,6.387532126468459
-21.5,,,,,,,0.0372,10.0,6.387532126468459
-21.0,,,,,,,0.0372,10.0,6.387532126468459
-20.5,,,,,,,0.0372,10.0,6.387532126468459
-20.0,,,-140.55268341437795,,,74.2464272943701,0.0372,10.0,6.387532126468459
-19.5,,,,,,,0.0372,10.0,6.387532126468459
-19.0,,,,,,,0.0372,10.0,6.387532126468459
-18.5,,,,,,,0.0372,10.0,6.387532126468459
-18.0,,,,,,,0.0372,10.0,6.387532126468459
-17.5,,,,,,,0.0372,10.0,6.387532126468459
-17.0,,,,,,,0.0372,10.0,6.387532126468459
-16.5,,,,,,,0.0372,10.0,6.387532126468459
-16.0,,,,,,,0.0372,10.0,6.387532126468459
-15.5,,,,,,,0.0372,10.0,6.387532126468459
-15.0,,,,,,,0.0372,10.0,6.387532126468459
-14.5,,,,,,,0.0372,10.0,6.387532126468459
-14.0,,109.00368567887263,101.15213966035353,,40.0882117791686,34.0192502054471,0.0372,10.0,6.387532126468459
-13.5,,,,,,,0.0372,10.0,6.387532126468459
-13.0,,,,,,,0.0372,10.0,6.387532126468459
-12.5,,,,,,,0.0372,10.0,6.387532126468459
-12.0,,,,,,,0.0372,10.0,6.387532126468459
-11.5,,,,,,,0.0372,10.0,6.387532126468459
-11.0,,,,,,,0.0372,10.0,6.387532126468459
-10.5,,,,,,,0.0372,10.0,6.387532126468459
-10.0,,,,,,,0.0372,10.0,6.387532126468459
-9.5,,,,,,,0.0372,10.0,6.387532126468459
-9.0,,,,,,,0.0372,10.0,6.387532126468459
-8.5,,,,,,,0.0372,10.0,6.387532126468459
-8.0,,,,,,,0.0372,10.0,6.387532126468459
-7.5,,,,,,,0.0372,10.0,6.387532126468459
-7.0,,117.17116731401596,66.92013293397255,,35.4657061034717,32.8470607568856,0.0372,10.0,6.387532126468459
-6.5,,,,,,,0.0372,10.0,6.387532126468459
-6.0,,,,,,,0.0372,10.0,6.387532126468459
-5.5,,,,,,,0.0372,10.0,6.387532126468459
-5.0,,,,,,,0.0372,10.0,6.387532126468459
-4.5,,,,,,,0.0372,10.0,6.387532126468459
-4.0,,,,,,,0.0372,10.0,6.387532126468459
-3.5,-105.74438235537013,,,346.9227655675666,,,0.0372,10.0,6.387532126468459
-3.0,-292.8994397228271,,216.90578105962274,342.62143039247553,,32.4721228933112,0.0372,10.0,6.387532126468459
-2.5,-227.1233512370319,,,340.9106995086986,,,0.0372,10.0,6.387532126468459
-2.0,-113.39916932959159,,,339.5972813632524,,,0.0372,10.0,6.387532126468459
-1.5,-208.8146375160735,,,338.1844233974543,,,0.0372,10.0,6.387532126468459
-1.0,-55.070341732727286,,,336.7503954732111,,,0.0372,10.0,6.387532126468459
-0.5,-91.59526894761206,,,335.3831347544499,,,0.0372,10.0,6.387532126468459
0.0,-20.052917889819696,164.96542985888044,289.51092775193314,334.0464972926016,81.8013316478405,35.1682734801616,0.0372,10.0,6.387532126468459
0.5,-143.7939961806536,,,332.7200822113706,,,0.0372,10.0,6.387532126468459
1.0,-3.4815076364708943,,,331.5068848667834,,,0.0372,10.0,6.387532126468459
1.5,-43.38161000978812,,,330.2832371006189,,,0.0372,10.0,6.387532126468459
2.0,64.15018797269923,,,329.01342135011987,,,0.0372,10.0,6.387532126468459
2.5,-2.7087640011330905,,,328.03492230241875,,,0.0372,10.0,6.387532126468459
3.0,-50.44584111448438,,,326.92627038610925,,,0.0372,10.0,6.387532126468459
3.5,87.9830423376616,,,325.8761728430024,,,0.0372,10.0,6.387532126468459
4.0,16.261041397249926,,,324.64850058703945,,,0.0372,10.0,6.387532126468459
4.5,114.95480406597656,,,323.67158564810114,,,0.0372,10.0,6.387532126468459
5.0,65.7683934019162,,,322.71794033754963,,,0.0372,10.0,6.387532126468459
5.5,-97.43095542475726,,,321.98485298545955,,,0.0372,10.0,6.387532126468459
6.0,28.632880250109906,205.06346656953596,237.356078030095,321.865586191792,46.7637167919374,60.6568667444667,0.0372,10.0,6.387532126468459
6.5,-144.9981949204166,,,322.5635219265644,,,0.0372,10.0,6.387532126468459
7.0,177.2031609014919,,,323.38002620474407,,,0.0372,10.0,6.387532126468459
7.5,112.2718493596187,,,323.15495715442523,,,0.0372,10.0,6.387532126468459
8.0,,,,,,,0.0372,10.0,6.387532126468459
8.5,,,,,,,0.0372,10.0,6.387532126468459
9.0,,234.64747559284993,,,50.5023153263858,,0.0372,10.0,6.387532126468459
9.5,,,,,,,0.0372,10.0,6.387532126468459
10.0,,,,,,,0.0372,10.0,6.387532126468459
10.5,,,,,,,0.0372,10.0,6.387532126468459
11.0,109.634199916358,,,313.0247974621588,,,0.0372,10.0,6.387532126468459
11.5,260.5531319931339,,,310.49002865787907,,,0.0372,10.0,6.387532126468459
12.0,256.13669611624425,,,309.1419842841058,,,0.0372,10.0,6.387532126468459
12.5,201.16956935630844,,,308.1513410098438,,,0.0372,10.0,6.387532126468459
13.0,317.74087356472916,,,307.3063326282452,,,0.0372,10.0,6.387532126468459
13.5,297.36106591441956,,,306.4877492212212,,,0.0372,10.0,6.387532126468459
14.0,406.3936188244859,,,305.67736419792334,,,0.0372,10.0,6.387532126468459
14.5,373.93176946712106,,,305.004149295281,,,0.0372,10.0,6.387532126468459
15.0,349.34774063166714,235.97476008641124,127.55404441997882,304.29365500092996,25.3274873904909,24.60581691672,0.0372,10.0,6.387532126468459
15.5,245.28424928860574,,,303.7458383553622,,,0.0372,10.0,6.387532126468459
16.0,232.08618529553684,,,303.33231288068816,,,0.0372,10.0,6.387532126468459
16.5,223.8080539267109,,,302.4471210875693,,,0.0372,10.0,6.387532126468459
17.0,278.75519412434005,,,301.6967101465035,,,0.0372,10.0,6.387532126468459
17.5,243.91377306785702,,,300.8552033410273,,,0.0372,10.0,6.387532126468459
18.0,294.47434664236704,,,300.14272471652504,,,0.0372,10.0,6.387532126468459
18.5,347.01153683664114,,,299.6220570127696,,,0.0372,10.0,6.387532126468459
19.0,405.1499448580356,157.0739913351653,118.53912544367492,299.29267496473716,23.7038939862102,26.7723918133578,0.0372,10.0,6.387532126468459
19.5,271.30852870833917,,,298.5301846603944,,,0.0372,10.0,6.387532126468459
20.0,305.70283187079053,,,297.7617446269517,,,0.0372,10.0,6.387532126468459
20.5,-46.17542026169741,,,297.4201757590572,,,0.0372,10.0,6.387532126468459
21.0,,217.3457914378774,96.88267120442758,,25.2175453150254,21.0261847142591,0.0372,10.0,6.387532126468459
21.5,,,,,,,0.0372,10.0,6.387532126468459
22.0,,,,,,,0.0372,10.0,6.387532126468459
22.5,,,,,,,0.0372,10.0,6.387532126468459
23.0,,120.78088807837744,94.95631999230044,,26.7016054913833,20.4250480098532,0.0372,10.0,6.387532126468459
23.5,,,,,,,0.0372,10.0,6.387532126468459
24.0,,,,,,,0.0372,10.0,6.387532126468459
24.5,,,,,,,0.0372,10.0,6.387532126468459
25.0,,,,,,,0.0372,10.0,6.387532126468459
25.5,,,,,,,0.0372,10.0,6.387532126468459
26.0,,128.34268078294468,77.19241387569714,,36.9479087427415,31.2295737228684,0.0372,10.0,6.387532126468459
26.5,,,,,,,0.0372,10.0,6.387532126468459
27.0,,,,,,,0.0372,10.0,6.387532126468459
27.5,,,,,,,0.0372,10.0,6.387532126468459
28.0,,113.70503560286366,48.16984216868686,,28.3994616634628,26.5672751192246,0.0372,10.0,6.387532126468459
28.5,,,,,,,0.0372,10.0,6.387532126468459
29.0,,,,,,,0.0372,10.0,6.387532126468459
29.5,,,,,,,0.0372,10.0,6.387532126468459
30.0,,,,,,,0.0372,10.0,6.387532126468459
30.5,,,,,,,0.0372,10.0,6.387532126468459
31.0,,,,,,,0.0372,10.0,6.387532126468459
31.5,,,,,,,0.0372,10.0,6.387532126468459
32.0,,,,,,,0.0372,10.0,6.387532126468459
32.5,,,,,,,0.0372,10.0,6.387532126468459
33.0,,52.83717729563361,35.14884093252984,,43.8303468630378,76.073334895634,0.0372,10.0,6.387532126468459
33.5,,,,,,,0.0372,10.0,6.387532126468459
34.0,,,,,,,0.0372,10.0,6.387532126468459
34.5,,,,,,,0.0372,10.0,6.387532126468459
35.0,,,,,,,0.0372,10.0,6.387532126468459
35.5,,,,,,,0.0372,10.0,6.387532126468459
36.0,,,,,,,0.0372,10.0,6.387532126468459
36.5,,,,,,,0.0372,10.0,6.387532126468459
37.0,,,,,,,0.0372,10.0,6.387532126468459
37.5,,,,,,,0.0372,10.0,6.387532126468459
38.0,,,,,,,0.0372,10.0,6.387532126468459
38.5,,,,,,,0.0372,10.0,6.387532126468459
39.0,,,,,,,0.0372,10.0,6.387532126468459
39.5,,,,,,,0.0372,10.0,6.387532126468459
40.0,,,,,,,0.0372,10.0,6.387532126468459
40.5,,,,,,,0.0372,10.0,6.387532126468459
41.0,,,,,,,0.0372,10.0,6.387532126468459
41.5,,,,,,,0.0372,10.0,6.387532126468459
42.0,,,,,,,0.0372,10.0,6.387532126468459
42.5,,,,,,,0.0372,10.0,6.387532126468459
43.0,,,,,,,0.0372,10.0,6.387532126468459
43.5,,,,,,,0.0372,10.0,6.387532126468459
44.0,,,,,,,0.0372,10.0,6.387532126468459
44.5,,,,,,,0.0372,10.0,6.387532126468459
45.0,,,,,,,0.0372,10.0,6.387532126468459
45.5,,,,,,,0.0372,10.0,6.387532126468459
46.0,,,,,,,0.0372,10.0,6.387532126468459
46.5,,,,,,,0.0372,10.0,6.387532126468459
47.0,,79.17136010660158,6.435792025326193,,24.316275671934,26.0908843144303,0.0372,10.0,6.387532126468459
47.5,,,,,,,0.0372,10.0,6.387532126468459
48.0,,,,,,,0.0372,10.0,6.387532126468459
48.5,,,,,,,0.0372,10.0,6.387532126468459
49.0,,,,,,,0.0372,10.0,6.387532126468459
49.5,,,,,,,0.0372,10.0,6.387532126468459
50.0,,,,,,,0.0372,10.0,6.387532126468459
50.5,,,,,,,0.0372,10.0,6.387532126468459
51.0,,,,,,,0.0372,10.0,6.387532126468459
51.5,,,,,,,0.0372,10.0,6.387532126468459
52.0,,,,,,,0.0372,10.0,6.387532126468459
52.5,,,,,,,0.0372,10.0,6.387532126468459
53.0,,,,,,,0.0372,10.0,6.387532126468459
53.5,,,,,,,0.0372,10.0,6.387532126468459
54.0,,,,,,,0.0372,10.0,6.387532126468459
54.5,,,,,,,0.0372,10.0,6.387532126468459
55.0,,,,,,,0.0372,10.0,6.387532126468459
55.5,,,,,,,0.0372,10.0,6.387532126468459
56.0,,,,,,,0.0372,10.0,6.387532126468459
56.5,,,,,,,0.0372,10.0,6.387532126468459
57.0,,,,,,,0.0372,10.0,6.387532126468459
57.5,,,,,,,0.0372,10.0,6.387532126468459
58.0,,,,,,,0.0372,10.0,6.387532126468459
58.5,,,,,,,0.0372,10.0,6.387532126468459
59.0,,,,,,,0.0372,10.0,6.387532126468459
59.5,,,,,,,0.0372,10.0,6.387532126468459
60.0,,,,,,,0.0372,10.0,6.387532126468459
60.5,,,,,,,0.0372,10.0,6.387532126468459
61.0,,,,,,,0.0372,10.0,6.387532126468459
61.5,,,,,,,0.0372,10.0,6.387532126468459
62.0,,,,,,,0.0372,10.0,6.387532126468459
62.5,,,,,,,0.0372,10.0,6.387532126468459
63.0,,,,,,,0.0372,10.0,6.387532126468459
63.5,,,,,,,0.0372,10.0,6.387532126468459
64.0,,,,,,,0.0372,10.0,6.387532126468459
64.5,,,,,,,0.0372,10.0,6.387532126468459
65.0,,,,,,,0.0372,10.0,6.387532126468459
