relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0356,11.6,2.8136571693556887
-29.5,,,,,,,0.0356,11.6,2.8136571693556887
-29.0,,,,,,,0.0356,11.6,2.8136571693556887
-28.5,,,,,,,0.0356,11.6,2.8136571693556887
-28.0,,-59.542659303583974,-49.41913677080116,,35.3940513027658,33.8378778333883,0.0356,11.6,2.8136571693556887
-27.5,,,,,,,0.0356,11.6,2.8136571693556887
-27.0,,,,,,,0.0356,11.6,2.8136571693556887
-26.5,,,,,,,0.0356,11.6,2.8136571693556887
-26.0,,,,,,,0.0356,11.6,2.8136571693556887
-25.5,,,,,,,0.0356,11.6,2.8136571693556887
-25.0,,,,,,,0.0356,11.6,2.8136571693556887
-24.5,,,,,,,0.0356,11.6,2.8136571693556887
-24.0,,-6.983211133677764,-5.965305879596057,,26.407701674148,37.5143178232347,0.0356,11.6,2.8136571693556887
-23.5,,,,,,,0.0356,11.6,2.8136571693556887
-23.0,,,,,,,0.0356,11.6,2.8136571693556887
-22.5,,,,,,,0.0356,11.6,2.8136571693556887
-22.0,,,,,,,0.0356,11.6,2.8136571693556887
-21.5,,,,,,,0.0356,11.6,2.8136571693556887
-21.0,,-131.95634610708706,-58.958265639365784,,54.5206579149428,35.4161172905185,0.0356,11.6,2.8136571693556887
-20.5,,,,,,,0.0356,11.6,2.8136571693556887
-20.0,,,,,,,0.0356,11.6,2.8136571693556887
-19.5,,,,,,,0.0356,11.6,2.8136571693556887
-19.0,,,,,,,0.0356,11.6,2.8136571693556887
-18.5,,,,,,,0.0356,11.6,2.8136571693556887
-18.0,,,,,,,0.0356,11.6,2.8136571693556887
-17.5,,,,,,,0.0356,11.6,2.8136571693556887
-17.0,,,,,,,0.0356,11.6,2.8136571693556887
-16.5,,,,,,,0.0356,11.6,2.8136571693556887
-16.0,,,,,,,0.0356,11.6,2.8136571693556887
-15.5,,,,,,,0.0356,11.6,2.8136571693556887
-15.0,,21.81779730018581,40.654040060832735,,39.7986778370952,71.4802895891669,0.0356,11.6,2.8136571693556887
-14.5,,,,,,,0.0356,11.6,2.8136571693556887
-14.0,,,,,,,0.0356,11.6,2.8136571693556887
-13.5,,,,,,,0.0356,11.6,2.8136571693556887
-13.0,,,156.4060522557236,,,76.5923596492933,0.0356,11.6,2.8136571693556887
-12.5,,,,,,,0.0356,11.6,2.8136571693556887
-12.0,,,,,,,0.0356,11.6,2.8136571693556887
-11.5,,,,,,,0.0356,11.6,2.8136571693556887
-11.0,,,,,,,0.0356,11.6,2.8136571693556887
-10.5,,,,,,,0.0356,11.6,2.8136571693556887
-10.0,,,,,,,0.0356,11.6,2.8136571693556887
-9.5,,,,,,,0.0356,11.6,2.8136571693556887
-9.0,,,,,,,0.0356,11.6,2.8136571693556887
-8.5,,,,,,,0.0356,11.6,2.8136571693556887
-8.0,,,,,,,0.0356,11.6,2.8136571693556887
-7.5,,,,,,,0.0356,11.6,2.8136571693556887
-7.0,,,,,,,0.0356,11.6,2.8136571693556887
-6.5,,,,,,,0.0356,11.6,2.8136571693556887
-6.0,,53.511038432268556,65.88037654215265,,25.0273110583854,25.31347955978,0.0356,11.6,2.8136571693556887
-5.5,,,,,,,0.0356,11.6,2.8136571693556887
-5.0,,,,,,,0.0356,11.6,2.8136571693556887
-4.5,,,,,,,0.0356,11.6,2.8136571693556887
-4.0,,,,,,,0.0356,11.6,2.8136571693556887
-3.5,,,,,,,0.0356,11.6,2.8136571693556887
-3.0,,,,,,,0.0356,11.6,2.8136571693556887
-2.5,,,,,,,0.0356,11.6,2.8136571693556887
-2.0,,126.29663445997416,174.6448465460822,,26.5467855843996,22.4907752918187,0.0356,11.6,2.8136571693556887
-1.5,,,,,,,0.0356,11.6,2.8136571693556887
-1.0,,,,,,,0.0356,11.6,2.8136571693556887
-0.5,,,,,,,0.0356,11.6,2.8136571693556887
0.0,,,197.3993179142802,,,22.5637293719427,0.0356,11.6,2.8136571693556887
0.5,,,,,,,0.0356,11.6,2.8136571693556887
1.0,,,,,,,0.0356,11.6,2.8136571693556887
1.5,-528.2139804687881,,,381.1304706714707,,,0.0356,11.6,2.8136571693556887
2.0,185.93712354312026,252.32556658842992,235.84187175903335,369.0975641724898,29.7046235264375,24.5782078615899,0.0356,11.6,2.8136571693556887
2.5,460.53414820195354,,,360.0718502049983,,,0.0356,11.6,2.8136571693556887
3.0,265.0334329880473,,,371.13630076761336,,,0.0356,11.6,2.8136571693556887
3.5,447.512991966934,,,366.94983822246434,,,0.0356,11.6,2.8136571693556887
4.0,332.9447604825583,,,359.0597440376718,,,0.0356,11.6,2.8136571693556887
4.5,505.60719773548317,,,365.1558614441398,,,0.0356,11.6,2.8136571693556887
5.0,196.27596779125832,277.2095828204417,285.2767239544197,364.2483548313026,34.3690991619611,30.7150942742962,0.0356,11.6,2.8136571693556887
5.5,275.4528586987542,,,356.23240147795406,,,0.0356,11.6,2.8136571693556887
