relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0937,6.0,1.7331538368599084
-29.5,,,,,,,0.0937,6.0,1.7331538368599084
-29.0,,-70.16044793885112,46.88501400609161,,165.41636604730863,62.01158829227721,0.0937,6.0,1.7331538368599084
-28.5,,,,,,,0.0937,6.0,1.7331538368599084
-28.0,,,,,,,0.0937,6.0,1.7331538368599084
-27.5,,,,,,,0.0937,6.0,1.7331538368599084
-27.0,,,,,,,0.0937,6.0,1.7331538368599084
-26.5,,,,,,,0.0937,6.0,1.7331538368599084
-26.0,,75.36301923261061,-63.14266923721254,,435.8318120764712,51.65577779981833,0.0937,6.0,1.7331538368599084
-25.5,,,,,,,0.0937,6.0,1.7331538368599084
-25.0,,,,,,,0.0937,6.0,1.7331538368599084
-24.5,,,,,,,0.0937,6.0,1.7331538368599084
-24.0,,,,,,,0.0937,6.0,1.7331538368599084
-23.5,,,,,,,0.0937,6.0,1.7331538368599084
-23.0,,,,,,,0.0937,6.0,1.7331538368599084
-22.5,,,,,,,0.0937,6.0,1.7331538368599084
-22.0,,,,,,,0.0937,6.0,1.7331538368599084
-21.5,,,,,,,0.0937,6.0,1.7331538368599084
-21.0,,,,,,,0.0937,6.0,1.7331538368599084
-20.5,,,,,,,0.0937,6.0,1.7331538368599084
-20.0,,22.38621427609376,-64.36810774290842,,297.27898344752515,121.50829194095394,0.0937,6.0,1.7331538368599084
-19.5,,,,,,,0.0937,6.0,1.7331538368599084
-19.0,,,,,,,0.0937,6.0,1.7331538368599084
-18.5,,,,,,,0.0937,6.0,1.7331538368599084
-18.0,,-2.0060189287733325,,,304.17249529304445,,0.0937,6.0,1.7331538368599084
-17.5,,,,,,,0.0937,6.0,1.7331538368599084
-17.0,,,,,,,0.0937,6.0,1.7331538368599084
-16.5,,,,,,,0.0937,6.0,1.7331538368599084
-16.0,,,,,,,0.0937,6.0,1.7331538368599084
-15.5,,,,,,,0.0937,6.0,1.7331538368599084
-15.0,,,,,,,0.0937,6.0,1.7331538368599084
-14.5,,,,,,,0.0937,6.0,1.7331538368599084
-14.0,,,,,,,0.0937,6.0,1.7331538368599084
-13.5,,,,,,,0.0937,6.0,1.7331538368599084
-13.0,,,,,,,0.0937,6.0,1.7331538368599084
-12.5,,,,,,,0.0937,6.0,1.7331538368599084
-12.0,,,,,,,0.0937,6.0,1.7331538368599084
-11.5,,,,,,,0.0937,6.0,1.7331538368599084
-11.0,,38.649515129360765,11.863552358030597,,150.2953298087514,47.34555862795555,0.0937,6.0,1.7331538368599084
-10.5,,,,,,,0.0937,6.0,1.7331538368599084
-10.0,,,,,,,0.0937,6.0,1.7331538368599084
-9.5,,,,,,,0.0937,6.0,1.7331538368599084
-9.0,,,,,,,0.0937,6.0,1.7331538368599084
-8.5,,,,,,,0.0937,6.0,1.7331538368599084
-8.0,,,,,,,0.0937,6.0,1.7331538368599084
-7.5,,,,,,,0.0937,6.0,1.7331538368599084
-7.0,,35.76027030319738,56.853547063670476,,155.8462348042994,48.6589300964839,0.0937,6.0,1.7331538368599084
-6.5,,,,,,,0.0937,6.0,1.7331538368599084
-6.0,,,,,,,0.0937,6.0,1.7331538368599084
-5.5,,,,,,,0.0937,6.0,1.7331538368599084
-5.0,,,102.52356737655474,,,35.02496970527876,0.0937,6.0,1.7331538368599084
-4.5,,,,,,,0.0937,6.0,1.7331538368599084
-4.0,,,,,,,0.0937,6.0,1.7331538368599084
-3.5,,,,,,,0.0937,6.0,1.7331538368599084
-3.0,,180.34098193879342,218.64042348015403,,160.84846937216955,41.88374260037399,0.0937,6.0,1.7331538368599084
-2.5,-60.537379490310116,,,157.98081588924313,,,0.0937,6.0,1.7331538368599084
-2.0,47.03667968476924,,,157.0680753250026,,,0.0937,6.0,1.7331538368599084
-1.5,53.46045012738682,,,157.47637379954898,,,0.0937,6.0,1.7331538368599084
-1.0,27.268070428690407,,,156.76682960473315,,,0.0937,6.0,1.7331538368599084
-0.5,122.53966737862396,,,157.16241205387198,,,0.0937,6.0,1.7331538368599084
0.0,197.27185423595898,363.8323203312239,370.6129637204841,156.96902410599137,186.01877047981176,55.559484785033625,0.0937,6.0,1.7331538368599084
0.5,183.78209808679,,,158.20248790696874,,,0.0937,6.0,1.7331538368599084
1.0,374.35314852132626,,,157.17922811449245,,,0.0937,6.0,1.7331538368599084
1.5,504.7598260790811,,,156.10811043065954,,,0.0937,6.0,1.7331538368599084
2.0,571.6055257033739,467.560024757447,522.4116770125481,156.02522246249023,163.18692820009298,51.07425681900291,0.0937,6.0,1.7331538368599084
2.5,508.93646239917217,,,155.64839619264816,,,0.0937,6.0,1.7331538368599084
3.0,511.21672792972004,,,155.6898183567783,,,0.0937,6.0,1.7331538368599084
3.5,657.3298895394626,,,155.64374706357637,,,0.0937,6.0,1.7331538368599084
4.0,531.5339314462815,,,155.26944827862752,,,0.0937,6.0,1.7331538368599084
4.5,649.5202115568026,,,155.46290462392767,,,0.0937,6.0,1.7331538368599084
5.0,589.1711212659767,,,155.5830687409182,,,0.0937,6.0,1.7331538368599084
5.5,595.8270023916834,,,155.61614604683587,,,0.0937,6.0,1.7331538368599084
6.0,695.9354655372465,,,155.40209146387275,,,0.0937,6.0,1.7331538368599084
6.5,690.3137344112171,,,155.44990367836542,,,0.0937,6.0,1.7331538368599084
7.0,629.3433232664381,566.8283581171,605.041594863494,155.42194760744346,416.1423774580461,113.76943448862052,0.0937,6.0,1.7331538368599084
7.5,667.6942039693936,,,155.90015672278406,,,0.0937,6.0,1.7331538368599084
8.0,646.7334567038952,,,156.17715998583992,,,0.0937,6.0,1.7331538368599084
8.5,,,,,,,0.0937,6.0,1.7331538368599084
9.0,,595.9544327642582,561.2598474909523,,423.294710602997,139.30456199247988,0.0937,6.0,1.7331538368599084
9.5,,,,,,,0.0937,6.0,1.7331538368599084
10.0,,,,,,,0.0937,6.0,1.7331538368599084
10.5,,,,,,,0.0937,6.0,1.7331538368599084
11.0,,,,,,,0.0937,6.0,1.7331538368599084
11.5,613.5569851357741,,,158.44188711621703,,,0.0937,6.0,1.7331538368599084
12.0,462.0301577785271,,,155.52346700224635,,,0.0937,6.0,1.7331538368599084
12.5,356.3857871868916,,,154.60063474900386,,,0.0937,6.0,1.7331538368599084
13.0,208.2445831018537,,,153.98147123153092,,,0.0937,6.0,1.7331538368599084
13.5,304.044179271654,,,153.12895986339078,,,0.0937,6.0,1.7331538368599084
14.0,203.8268715400463,,,152.99129639870142,,,0.0937,6.0,1.7331538368599084
14.5,254.5276781380824,,,152.47867897442097,,,0.0937,6.0,1.7331538368599084
15.0,207.32944689428115,,,152.33787640024042,,,0.0937,6.0,1.7331538368599084
15.5,255.81584841864577,,,153.17274249826923,,,0.0937,6.0,1.7331538368599084
16.0,282.8686809115039,,,152.6431720437253,,,0.0937,6.0,1.7331538368599084
16.5,227.75882570869126,,,152.72111757559784,,,0.0937,6.0,1.7331538368599084
17.0,256.9578457594373,,,153.19106552895812,,,0.0937,6.0,1.7331538368599084
17.5,142.19641212358852,,,153.25915005331987,,,0.0937,6.0,1.7331538368599084
18.0,130.4268110444154,,,153.7981140738389,,,0.0937,6.0,1.7331538368599084
18.5,74.74412245908763,,,153.90991601297551,,,0.0937,6.0,1.7331538368599084
19.0,50.08668125971474,,,154.01003514521884,,,0.0937,6.0,1.7331538368599084
19.5,58.755875918103584,,,154.15418256300114,,,0.0937,6.0,1.7331538368599084
20.0,-45.56821384078256,,,153.2928013255199,,,0.0937,6.0,1.7331538368599084
20.5,76.6065016550362,,,153.17341723982338,,,0.0937,6.0,1.7331538368599084
21.0,,351.36461397905316,260.73673153795704,,149.6005870273224,44.33840935849816,0.0937,6.0,1.7331538368599084
21.5,,,,,,,0.0937,6.0,1.7331538368599084
