relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-21.10444882019423,26.391985740385408,,26.3044033433034,24.2895493209821,0.0981,9.0,3.4239288673815773
-29.5,,,,,,,0.0981,9.0,3.4239288673815773
-29.0,,,,,,,0.0981,9.0,3.4239288673815773
-28.5,,,,,,,0.0981,9.0,3.4239288673815773
-28.0,,,,,,,0.0981,9.0,3.4239288673815773
-27.5,,,,,,,0.0981,9.0,3.4239288673815773
-27.0,,52.239982054182185,-55.3619293642233,,38.5653489050544,25.0268505908691,0.0981,9.0,3.4239288673815773
-26.5,,,,,,,0.0981,9.0,3.4239288673815773
-26.0,,,,,,,0.0981,9.0,3.4239288673815773
-25.5,,,,,,,0.0981,9.0,3.4239288673815773
-25.0,,,,,,,0.0981,9.0,3.4239288673815773
-24.5,,,,,,,0.0981,9.0,3.4239288673815773
-24.0,,,,,,,0.0981,9.0,3.4239288673815773
-23.5,,,,,,,0.0981,9.0,3.4239288673815773
-23.0,,,,,,,0.0981,9.0,3.4239288673815773
-22.5,,,,,,,0.0981,9.0,3.4239288673815773
-22.0,,,,,,,0.0981,9.0,3.4239288673815773
-21.5,,,,,,,0.0981,9.0,3.4239288673815773
-21.0,,107.98685536075546,10.966249264339616,,43.2201727123923,75.3026989060985,0.0981,9.0,3.4239288673815773
-20.5,,,,,,,0.0981,9.0,3.4239288673815773
-20.0,,,,,,,0.0981,9.0,3.4239288673815773
-19.5,,,,,,,0.0981,9.0,3.4239288673815773
-19.0,,,,,,,0.0981,9.0,3.4239288673815773
-18.5,,,,,,,0.0981,9.0,3.4239288673815773
-18.0,,,,,,,0.0981,9.0,3.4239288673815773
-17.5,,,,,,,0.0981,9.0,3.4239288673815773
-17.0,,,,,,,0.0981,9.0,3.4239288673815773
-16.5,,,,,,,0.0981,9.0,3.4239288673815773
-16.0,,,,,,,0.0981,9.0,3.4239288673815773
-15.5,,,,,,,0.0981,9.0,3.4239288673815773
-15.0,,,,,,,0.0981,9.0,3.4239288673815773
-14.5,,,,,,,0.0981,9.0,3.4239288673815773
