relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-29.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-29.0,,,-52.886289345162815,,,56.7499547926875,0.0969,8.100000000000001,2.9171428182765107
-28.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-28.0,,-45.291111451278006,-97.84634952530683,,27.024958013890632,28.246630756815144,0.0969,8.100000000000001,2.9171428182765107
-27.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-27.0,,-59.4057905611277,-47.42781126905053,,33.04329370175804,36.00020297025159,0.0969,8.100000000000001,2.9171428182765107
-26.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-26.0,,-105.97672582656408,-16.34930452722141,,65.97285415679059,45.66305526487453,0.0969,8.100000000000001,2.9171428182765107
-25.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-25.0,,-4.784411555766513,6.855138384600254,,56.44405413228077,53.04741343743012,0.0969,8.100000000000001,2.9171428182765107
-24.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-24.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-23.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-23.0,,24.710784621510097,-26.872237550391844,,48.825976346967224,43.56325397538749,0.0969,8.100000000000001,2.9171428182765107
-22.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-22.0,,17.509292701420357,-7.013006405250161,,46.23052981404317,41.02907562630379,0.0969,8.100000000000001,2.9171428182765107
-21.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-21.0,,-3.6750058171854043,8.173125748915286,,51.0557672146473,39.36234117884111,0.0969,8.100000000000001,2.9171428182765107
-20.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-20.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-19.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-19.0,,38.463425037745395,5.4630648871734415,,57.1009520258864,46.118200871657876,0.0969,8.100000000000001,2.9171428182765107
-18.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-18.0,,-30.29301806151283,24.326391366659834,,45.41027234776373,47.3461705309886,0.0969,8.100000000000001,2.9171428182765107
-17.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-17.0,,-11.549925804775985,8.290796042223167,,36.45424421189099,38.517936631021044,0.0969,8.100000000000001,2.9171428182765107
-16.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-16.0,,-34.50490209571267,14.100750047697588,,39.00661214917856,36.79978317787654,0.0969,8.100000000000001,2.9171428182765107
-15.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-15.0,,11.189167919513899,85.15848859741533,,94.57788326001906,73.74882713807553,0.0969,8.100000000000001,2.9171428182765107
-14.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-14.0,,,-20.62280314384003,,,154.36841086877192,0.0969,8.100000000000001,2.9171428182765107
-13.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-13.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-12.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-12.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-11.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-11.0,,-35.95962814825344,-44.54872260127326,,76.33929317824527,108.46436428928777,0.0969,8.100000000000001,2.9171428182765107
-10.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-10.0,,-38.83267278432022,-23.52656901890869,,101.277018155322,125.75515634768253,0.0969,8.100000000000001,2.9171428182765107
-9.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-9.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-8.5,,,,,,,0.0969,8.100000000000001,2.9171428182765107
-8.0,,,,,,,0.0969,8.100000000000001,2.9171428182765107
