relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-0.9308636482673491,-104.14575909107157,,62.0483486108047,90.9551425472106,0.0288,14.1,3.788419488681556
-29.5,,,,,,,0.0288,14.1,3.788419488681556
-29.0,,,,,,,0.0288,14.1,3.788419488681556
-28.5,,,,,,,0.0288,14.1,3.788419488681556
-28.0,,,,,,,0.0288,14.1,3.788419488681556
-27.5,,,,,,,0.0288,14.1,3.788419488681556
-27.0,,-11.84361609863137,,,48.233889230443,,0.0288,14.1,3.788419488681556
-26.5,,,,,,,0.0288,14.1,3.788419488681556
-26.0,,,,,,,0.0288,14.1,3.788419488681556
-25.5,,,,,,,0.0288,14.1,3.788419488681556
-25.0,,,,,,,0.0288,14.1,3.788419488681556
-24.5,,,,,,,0.0288,14.1,3.788419488681556
-24.0,,28.313140771333646,,,39.2514904339267,,0.0288,14.1,3.788419488681556
-23.5,-226.81656613201048,,,272.2454024196094,,,0.0288,14.1,3.788419488681556
-23.0,-382.32076557749167,,,254.77503404606298,,,0.0288,14.1,3.788419488681556
-22.5,-297.8168104674624,,,253.4236820404434,,,0.0288,14.1,3.788419488681556
-22.0,-328.5331138724329,,,259.29877091509485,,,0.0288,14.1,3.788419488681556
-21.5,-366.62928785190525,,,260.6307180417658,,,0.0288,14.1,3.788419488681556
-21.0,-278.93103587242683,,,262.09717779733074,,,0.0288,14.1,3.788419488681556
-20.5,-286.19042379540736,,,257.6286818773986,,,0.0288,14.1,3.788419488681556
-20.0,-256.2596752111228,,,256.31957631528513,,,0.0288,14.1,3.788419488681556
-19.5,-179.7362974241964,,,255.43795707047715,,,0.0288,14.1,3.788419488681556
-19.0,-195.2302690505389,,,262.5899958278995,,,0.0288,14.1,3.788419488681556
-18.5,-245.39865002191698,,,265.35970086148416,,,0.0288,14.1,3.788419488681556
-18.0,-175.3448520223189,,,259.9876750114521,,,0.0288,14.1,3.788419488681556
-17.5,-285.8050005152205,,,259.6254291278959,,,0.0288,14.1,3.788419488681556
-17.0,-280.6384291155913,,,264.38000717192455,,,0.0288,14.1,3.788419488681556
-16.5,-268.5794532000604,,,265.3895144365046,,,0.0288,14.1,3.788419488681556
-16.0,-207.93387213355135,,,263.4977396592062,,,0.0288,14.1,3.788419488681556
-15.5,-183.85602799928427,,,269.1204372258342,,,0.0288,14.1,3.788419488681556
-15.0,-258.9093493693178,,,266.38687296033584,,,0.0288,14.1,3.788419488681556
-14.5,-157.37856523330578,,,265.9278340932484,,,0.0288,14.1,3.788419488681556
-14.0,-148.78291424626917,,0.3580689444156953,269.33393762994433,,29.3222675643597,0.0288,14.1,3.788419488681556
-13.5,-274.54987773645263,,,269.0614799889475,,,0.0288,14.1,3.788419488681556
-13.0,-194.1114886925494,,,274.0917851826675,,,0.0288,14.1,3.788419488681556
-12.5,,,,,,,0.0288,14.1,3.788419488681556
-12.0,,,36.35957279084931,,,27.8056847321888,0.0288,14.1,3.788419488681556
-11.5,,,,,,,0.0288,14.1,3.788419488681556
-11.0,,,,,,,0.0288,14.1,3.788419488681556
-10.5,-48.557891526521445,,,276.92334578271243,,,0.0288,14.1,3.788419488681556
-10.0,-220.74851256827608,,,269.6890604332164,,,0.0288,14.1,3.788419488681556
-9.5,-292.0692973956368,,,260.8098782541507,,,0.0288,14.1,3.788419488681556
-9.0,-218.76742897305843,-15.821176459323326,,264.72081323218185,50.8676918638403,,0.0288,14.1,3.788419488681556
-8.5,-134.3043265886892,,,268.2183266423617,,,0.0288,14.1,3.788419488681556
-8.0,-120.73960754165127,,,263.5589060703411,,,0.0288,14.1,3.788419488681556
-7.5,-167.68551227199998,,,262.12128549102357,,,0.0288,14.1,3.788419488681556
-7.0,-109.23663608603643,51.27639921419848,66.39733467051789,261.2600652345903,74.9473891128924,78.9174317588661,0.0288,14.1,3.788419488681556
-6.5,-65.05481229107286,,,261.9565649388681,,,0.0288,14.1,3.788419488681556
-6.0,-79.1832059072637,,,260.6351811080966,,,0.0288,14.1,3.788419488681556
-5.5,-16.19757324675507,,,260.4688920091429,,,0.0288,14.1,3.788419488681556
-5.0,71.25115090808083,,,258.6452986643905,,,0.0288,14.1,3.788419488681556
-4.5,31.91084962552347,,,257.81293804862884,,,0.0288,14.1,3.788419488681556
-4.0,184.81430533591492,,,256.4276025910604,,,0.0288,14.1,3.788419488681556
-3.5,297.3618751330362,,,259.67336776891636,,,0.0288,14.1,3.788419488681556
-3.0,390.8246317951961,,,252.78552852613095,,,0.0288,14.1,3.788419488681556
-2.5,547.7418119210904,,,258.62204238421555,,,0.0288,14.1,3.788419488681556
-2.0,599.1430062121801,,551.8872482207045,260.33259969632644,,95.7067694881345,0.0288,14.1,3.788419488681556
-1.5,553.4455963533119,,,248.09316152957317,,,0.0288,14.1,3.788419488681556
-1.0,719.5660280835061,,,243.5702957043587,,,0.0288,14.1,3.788419488681556
-0.5,870.0372584859749,,,247.88732219818624,,,0.0288,14.1,3.788419488681556
0.0,862.6369435371555,71.50567991341646,909.8927015286312,253.9667710491028,83.1404849693618,58.7725777354986,0.0288,14.1,3.788419488681556
0.5,,,,,,,0.0288,14.1,3.788419488681556
1.0,,,,,,,0.0288,14.1,3.788419488681556
1.5,,,,,,,0.0288,14.1,3.788419488681556
2.0,,1272.1612133153194,1312.3242524931786,,31.6089254414718,31.0665926967932,0.0288,14.1,3.788419488681556
2.5,,,,,,,0.0288,14.1,3.788419488681556
3.0,,,,,,,0.0288,14.1,3.788419488681556
3.5,,,,,,,0.0288,14.1,3.788419488681556
4.0,,1532.8745548309087,,,32.6715319549598,,0.0288,14.1,3.788419488681556
4.5,,,,,,,0.0288,14.1,3.788419488681556
5.0,,,,,,,0.0288,14.1,3.788419488681556
5.5,,,,,,,0.0288,14.1,3.788419488681556
6.0,,,1092.7775351692421,,,32.2309481963645,0.0288,14.1,3.788419488681556
6.5,,,,,,,0.0288,14.1,3.788419488681556
7.0,,,,,,,0.0288,14.1,3.788419488681556
7.5,,,,,,,0.0288,14.1,3.788419488681556
8.0,,1421.9707867721706,1757.6709755956765,,40.208595502318,33.4231164742135,0.0288,14.1,3.788419488681556
8.5,,,,,,,0.0288,14.1,3.788419488681556
9.0,,,,,,,0.0288,14.1,3.788419488681556
9.5,,,,,,,0.0288,14.1,3.788419488681556
10.0,,170.68200056447998,331.4655375034068,,39.1304218569931,29.8375997340761,0.0288,14.1,3.788419488681556
10.5,,,,,,,0.0288,14.1,3.788419488681556
11.0,,,,,,,0.0288,14.1,3.788419488681556
11.5,,,,,,,0.0288,14.1,3.788419488681556
12.0,,,1924.2325139443458,,,30.0011458352221,0.0288,14.1,3.788419488681556
12.5,,,,,,,0.0288,14.1,3.788419488681556
13.0,,,,,,,0.0288,14.1,3.788419488681556
13.5,,,,,,,0.0288,14.1,3.788419488681556
14.0,,,,,,,0.0288,14.1,3.788419488681556
14.5,,,,,,,0.0288,14.1,3.788419488681556
15.0,,,,,,,0.0288,14.1,3.788419488681556
15.5,,,,,,,0.0288,14.1,3.788419488681556
16.0,,1783.7658116491218,1578.425085610569,,31.2383636829726,30.7882719638317,0.0288,14.1,3.788419488681556
16.5,,,,,,,0.0288,14.1,3.788419488681556
17.0,,,,,,,0.0288,14.1,3.788419488681556
17.5,,,,,,,0.0288,14.1,3.788419488681556
18.0,,1450.8324593669881,1328.006563836433,,41.1954831554477,41.0870329426369,0.0288,14.1,3.788419488681556
18.5,,,,,,,0.0288,14.1,3.788419488681556
19.0,,,,,,,0.0288,14.1,3.788419488681556
19.5,,,,,,,0.0288,14.1,3.788419488681556
20.0,,,1062.2186064449982,,,51.3075246983189,0.0288,14.1,3.788419488681556
20.5,,,,,,,0.0288,14.1,3.788419488681556
21.0,,,,,,,0.0288,14.1,3.788419488681556
21.5,,,,,,,0.0288,14.1,3.788419488681556
22.0,,,,,,,0.0288,14.1,3.788419488681556
22.5,,,,,,,0.0288,14.1,3.788419488681556
23.0,,,,,,,0.0288,14.1,3.788419488681556
23.5,,,,,,,0.0288,14.1,3.788419488681556
24.0,,,,,,,0.0288,14.1,3.788419488681556
24.5,,,,,,,0.0288,14.1,3.788419488681556
25.0,,,,,,,0.0288,14.1,3.788419488681556
25.5,,,,,,,0.0288,14.1,3.788419488681556
26.0,,,,,,,0.0288,14.1,3.788419488681556
26.5,,,,,,,0.0288,14.1,3.788419488681556
27.0,,,,,,,0.0288,14.1,3.788419488681556
27.5,,,,,,,0.0288,14.1,3.788419488681556
28.0,,,,,,,0.0288,14.1,3.788419488681556
28.5,,,,,,,0.0288,14.1,3.788419488681556
29.0,,935.1025223998545,499.70936860161913,,52.4204756315068,27.7887012782696,0.0288,14.1,3.788419488681556
29.5,,,,,,,0.0288,14.1,3.788419488681556
30.0,,,,,,,0.0288,14.1,3.788419488681556
30.5,,,,,,,0.0288,14.1,3.788419488681556
31.0,,832.5239049020763,,,35.9235293184622,,0.0288,14.1,3.788419488681556
31.5,,,,,,,0.0288,14.1,3.788419488681556
32.0,,,,,,,0.0288,14.1,3.788419488681556
32.5,,,,,,,0.0288,14.1,3.788419488681556
33.0,,908.3391387418361,,,34.0356835094983,,0.0288,14.1,3.788419488681556
33.5,,,,,,,0.0288,14.1,3.788419488681556
34.0,,,,,,,0.0288,14.1,3.788419488681556
34.5,,,,,,,0.0288,14.1,3.788419488681556
35.0,,872.8517529003038,257.5662432883789,,30.4166697869763,26.3665773353454,0.0288,14.1,3.788419488681556
35.5,,,,,,,0.0288,14.1,3.788419488681556
36.0,,,,,,,0.0288,14.1,3.788419488681556
36.5,,,,,,,0.0288,14.1,3.788419488681556
37.0,,704.0546320772391,204.26105276834738,,30.0725083678282,22.6398041673005,0.0288,14.1,3.788419488681556
37.5,,,,,,,0.0288,14.1,3.788419488681556
38.0,,,,,,,0.0288,14.1,3.788419488681556
38.5,,,,,,,0.0288,14.1,3.788419488681556
39.0,,,278.3119567067821,,,23.1953562281332,0.0288,14.1,3.788419488681556
39.5,,,,,,,0.0288,14.1,3.788419488681556
40.0,,,,,,,0.0288,14.1,3.788419488681556
40.5,,,,,,,0.0288,14.1,3.788419488681556
41.0,,669.1873532685561,,,31.4447639939889,,0.0288,14.1,3.788419488681556
41.5,,,,,,,0.0288,14.1,3.788419488681556
42.0,,,,,,,0.0288,14.1,3.788419488681556
42.5,,,,,,,0.0288,14.1,3.788419488681556
43.0,,584.3649353054933,,,28.1139855606949,,0.0288,14.1,3.788419488681556
43.5,,,,,,,0.0288,14.1,3.788419488681556
44.0,,,,,,,0.0288,14.1,3.788419488681556
44.5,,,,,,,0.0288,14.1,3.788419488681556
45.0,,325.49022265128644,,,39.1876046773226,,0.0288,14.1,3.788419488681556
45.5,,,,,,,0.0288,14.1,3.788419488681556
46.0,,,,,,,0.0288,14.1,3.788419488681556
46.5,,,,,,,0.0288,14.1,3.788419488681556
47.0,,,,,,,0.0288,14.1,3.788419488681556
47.5,,,,,,,0.0288,14.1,3.788419488681556
48.0,,394.02719368985237,144.45447098361228,,42.5765412380056,46.6135925463241,0.0288,14.1,3.788419488681556
48.5,,,,,,,0.0288,14.1,3.788419488681556
49.0,,,,,,,0.0288,14.1,3.788419488681556
49.5,,,,,,,0.0288,14.1,3.788419488681556
50.0,,,232.44989076076092,,,112.489732489953,0.0288,14.1,3.788419488681556
50.5,,,,,,,0.0288,14.1,3.788419488681556
51.0,,,,,,,0.0288,14.1,3.788419488681556
51.5,,,,,,,0.0288,14.1,3.788419488681556
52.0,,,,,,,0.0288,14.1,3.788419488681556
52.5,,,,,,,0.0288,14.1,3.788419488681556
