relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0604,10.1,4.666519045284183
-29.5,,,,,,,0.0604,10.1,4.666519045284183
-29.0,,-89.80197218959452,,,43.479442747967,,0.0604,10.1,4.666519045284183
-28.5,,,,,,,0.0604,10.1,4.666519045284183
-28.0,,,,,,,0.0604,10.1,4.666519045284183
-27.5,,,,,,,0.0604,10.1,4.666519045284183
-27.0,,-236.63722505735248,22.835836441235475,,46.8803082763413,39.2239060921222,0.0604,10.1,4.666519045284183
-26.5,,,,,,,0.0604,10.1,4.666519045284183
-26.0,,,,,,,0.0604,10.1,4.666519045284183
-25.5,,,,,,,0.0604,10.1,4.666519045284183
-25.0,,-185.8161440476724,-103.49687482949096,,42.8777074611043,32.6820138525068,0.0604,10.1,4.666519045284183
-24.5,,,,,,,0.0604,10.1,4.666519045284183
-24.0,,,,,,,0.0604,10.1,4.666519045284183
-23.5,,,,,,,0.0604,10.1,4.666519045284183
-23.0,,,,,,,0.0604,10.1,4.666519045284183
-22.5,,,,,,,0.0604,10.1,4.666519045284183
-22.0,,-33.845699929207676,-50.30409838508315,,38.9147329205101,37.4673845594896,0.0604,10.1,4.666519045284183
-21.5,,,,,,,0.0604,10.1,4.666519045284183
-21.0,,,,,,,0.0604,10.1,4.666519045284183
-20.5,,,,,,,0.0604,10.1,4.666519045284183
-20.0,,,-58.841969612058016,,,27.0386189927805,0.0604,10.1,4.666519045284183
-19.5,,,,,,,0.0604,10.1,4.666519045284183
-19.0,,,,,,,0.0604,10.1,4.666519045284183
-18.5,,,,,,,0.0604,10.1,4.666519045284183
-18.0,,,,,,,0.0604,10.1,4.666519045284183
-17.5,,,,,,,0.0604,10.1,4.666519045284183
-17.0,,,-124.14534787661984,,,51.2093267084887,0.0604,10.1,4.666519045284183
-16.5,,,,,,,0.0604,10.1,4.666519045284183
-16.0,,,,,,,0.0604,10.1,4.666519045284183
-15.5,,,,,,,0.0604,10.1,4.666519045284183
-15.0,,,,,,,0.0604,10.1,4.666519045284183
-14.5,,,,,,,0.0604,10.1,4.666519045284183
-14.0,,,,,,,0.0604,10.1,4.666519045284183
-13.5,,,,,,,0.0604,10.1,4.666519045284183
-13.0,,-126.18314280968976,,,34.953148610612,,0.0604,10.1,4.666519045284183
-12.5,,,,,,,0.0604,10.1,4.666519045284183
-12.0,,,,,,,0.0604,10.1,4.666519045284183
-11.5,,,,,,,0.0604,10.1,4.666519045284183
-11.0,,,127.69578214997851,,,78.3345445528781,0.0604,10.1,4.666519045284183
-10.5,,,,,,,0.0604,10.1,4.666519045284183
-10.0,,,,,,,0.0604,10.1,4.666519045284183
-9.5,,,,,,,0.0604,10.1,4.666519045284183
-9.0,,,,,,,0.0604,10.1,4.666519045284183
-8.5,,,,,,,0.0604,10.1,4.666519045284183
-8.0,,,,,,,0.0604,10.1,4.666519045284183
