relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.055,10.1,4.05924322448847
-29.5,,,,,,,0.055,10.1,4.05924322448847
-29.0,,-54.00494244097506,-37.436771868212794,,47.9228803048643,60.340565140288,0.055,10.1,4.05924322448847
-28.5,,,,,,,0.055,10.1,4.05924322448847
-28.0,,-45.55580539545221,-63.85944550935967,,47.3256717454803,45.7176675775319,0.055,10.1,4.05924322448847
-27.5,,,,,,,0.055,10.1,4.05924322448847
-27.0,,-34.74324786278667,39.06815433182728,,31.2426032495264,43.5893849498462,0.055,10.1,4.05924322448847
-26.5,,,,,,,0.055,10.1,4.05924322448847
-26.0,,38.250203966988884,-31.60288976430522,,30.6523340974565,31.0829236580213,0.055,10.1,4.05924322448847
-25.5,,,,,,,0.055,10.1,4.05924322448847
-25.0,,,,,,,0.055,10.1,4.05924322448847
-24.5,,,,,,,0.055,10.1,4.05924322448847
-24.0,,-53.65078551569492,-83.85707829394437,,25.8037792397621,22.272044241925258,0.055,10.1,4.05924322448847
-23.5,,,,,,,0.055,10.1,4.05924322448847
-23.0,,,,,,,0.055,10.1,4.05924322448847
-22.5,,,,,,,0.055,10.1,4.05924322448847
-22.0,,-50.1563723057091,-77.89877392724404,,19.170846485205452,18.45966885468472,0.055,10.1,4.05924322448847
-21.5,,,,,,,0.055,10.1,4.05924322448847
-21.0,,,,,,,0.055,10.1,4.05924322448847
-20.5,,,,,,,0.055,10.1,4.05924322448847
-20.0,,-80.17158729773848,-96.70508939946917,,20.5801711911638,18.1752412709023,0.055,10.1,4.05924322448847
-19.5,,,,,,,0.055,10.1,4.05924322448847
-19.0,,-41.24610554838259,-22.677314529800036,,15.4836901037677,19.0527378789125,0.055,10.1,4.05924322448847
-18.5,,,,,,,0.055,10.1,4.05924322448847
-18.0,,,,,,,0.055,10.1,4.05924322448847
-17.5,,,,,,,0.055,10.1,4.05924322448847
-17.0,,-100.93547052112739,-127.19700876201358,,20.3132737652736,32.1162688488461,0.055,10.1,4.05924322448847
-16.5,,,,,,,0.055,10.1,4.05924322448847
-16.0,,-34.17520721136659,-29.065782685006656,,37.0147616674019,20.8248939283174,0.055,10.1,4.05924322448847
-15.5,,,,,,,0.055,10.1,4.05924322448847
-15.0,,-199.4023961231077,-97.26189746070162,,38.2763778896494,32.0669387374125,0.055,10.1,4.05924322448847
-14.5,,,,,,,0.055,10.1,4.05924322448847
-14.0,,-40.80367918856967,-31.04648713986861,,26.7324782601573,22.4544085343163,0.055,10.1,4.05924322448847
-13.5,,,,,,,0.055,10.1,4.05924322448847
-13.0,,-120.19478467059469,-122.31469100674315,,28.0559949809048,20.3074071277985,0.055,10.1,4.05924322448847
-12.5,,,,,,,0.055,10.1,4.05924322448847
-12.0,,-47.81386008807106,-75.77064946653698,,25.5345539613317,19.762322978564,0.055,10.1,4.05924322448847
-11.5,,,,,,,0.055,10.1,4.05924322448847
-11.0,,-19.914821265163603,-50.47532488619358,,22.5811835824927,21.223696734849,0.055,10.1,4.05924322448847
