relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,22.32607930053953,-125.31240861946893,,26.9695181915834,35.8151249874628,0.0523,12.0,8.617671766008884
-29.5,,,,,,,0.0523,12.0,8.617671766008884
-29.0,,,,,,,0.0523,12.0,8.617671766008884
-28.5,,,,,,,0.0523,12.0,8.617671766008884
-28.0,,137.8949974654338,,,28.9579400251775,,0.0523,12.0,8.617671766008884
-27.5,,,,,,,0.0523,12.0,8.617671766008884
-27.0,,,,,,,0.0523,12.0,8.617671766008884
-26.5,,,,,,,0.0523,12.0,8.617671766008884
-26.0,,,-46.98613329179168,,,18.6059116262328,0.0523,12.0,8.617671766008884
-25.5,,,,,,,0.0523,12.0,8.617671766008884
-25.0,,,,,,,0.0523,12.0,8.617671766008884
-24.5,,,,,,,0.0523,12.0,8.617671766008884
-24.0,,24.379892050676396,-25.42999266831644,,20.7046199136696,20.4510192796119,0.0523,12.0,8.617671766008884
-23.5,,,,,,,0.0523,12.0,8.617671766008884
-23.0,,,,,,,0.0523,12.0,8.617671766008884
-22.5,,,,,,,0.0523,12.0,8.617671766008884
-22.0,,,,,,,0.0523,12.0,8.617671766008884
-21.5,,,,,,,0.0523,12.0,8.617671766008884
-21.0,,-53.23958260933962,-55.90997686640294,,28.3920050547493,21.7104445738723,0.0523,12.0,8.617671766008884
-20.5,,,,,,,0.0523,12.0,8.617671766008884
-20.0,,,,,,,0.0523,12.0,8.617671766008884
-19.5,,,,,,,0.0523,12.0,8.617671766008884
-19.0,,,,,,,0.0523,12.0,8.617671766008884
-18.5,,,,,,,0.0523,12.0,8.617671766008884
-18.0,,-15.654544996151083,,,20.4110047682308,,0.0523,12.0,8.617671766008884
-17.5,,,,,,,0.0523,12.0,8.617671766008884
-17.0,,,,,,,0.0523,12.0,8.617671766008884
-16.5,,,,,,,0.0523,12.0,8.617671766008884
-16.0,,525.2105407586503,,,34.0948197474508,,0.0523,12.0,8.617671766008884
-15.5,,,,,,,0.0523,12.0,8.617671766008884
-15.0,,,,,,,0.0523,12.0,8.617671766008884
-14.5,,,,,,,0.0523,12.0,8.617671766008884
-14.0,,,20.546976527810084,,,26.9378121852326,0.0523,12.0,8.617671766008884
-13.5,,,,,,,0.0523,12.0,8.617671766008884
-13.0,,,,,,,0.0523,12.0,8.617671766008884
