relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-95.553403209137,-68.40346900683531,,79.38887966981737,53.1813584219537,0.0797,0.0,4.399922979123865
-29.5,,,,,,,0.0797,0.0,4.399922979123865
-29.0,,,,,,,0.0797,0.0,4.399922979123865
-28.5,,,,,,,0.0797,0.0,4.399922979123865
-28.0,,19.10563286208011,-19.40776503301364,,46.44168803776108,34.0833848082536,0.0797,0.0,4.399922979123865
-27.5,,,,,,,0.0797,0.0,4.399922979123865
-27.0,,,,,,,0.0797,0.0,4.399922979123865
-26.5,,,,,,,0.0797,0.0,4.399922979123865
-26.0,,-58.113022447308616,-37.39101536693548,,41.215830632385874,17.5308687269256,0.0797,0.0,4.399922979123865
-25.5,,,,,,,0.0797,0.0,4.399922979123865
-25.0,,,,,,,0.0797,0.0,4.399922979123865
-24.5,,,,,,,0.0797,0.0,4.399922979123865
-24.0,,,-29.852493314090324,,,17.9578809459271,0.0797,0.0,4.399922979123865
-23.5,,,,,,,0.0797,0.0,4.399922979123865
-23.0,,,,,,,0.0797,0.0,4.399922979123865
-22.5,,,,,,,0.0797,0.0,4.399922979123865
-22.0,,-70.74354788700909,-15.020993584512794,,35.27481573301664,17.6684462339269,0.0797,0.0,4.399922979123865
-21.5,,,,,,,0.0797,0.0,4.399922979123865
-21.0,,,,,,,0.0797,0.0,4.399922979123865
-20.5,,,,,,,0.0797,0.0,4.399922979123865
-20.0,,,,,,,0.0797,0.0,4.399922979123865
-19.5,,,,,,,0.0797,0.0,4.399922979123865
-19.0,,,-73.14683145709932,,,21.7331059801792,0.0797,0.0,4.399922979123865
-18.5,,,,,,,0.0797,0.0,4.399922979123865
-18.0,,,,,,,0.0797,0.0,4.399922979123865
-17.5,,,,,,,0.0797,0.0,4.399922979123865
-17.0,,-73.2346346361966,-37.79742282703276,,41.444406123054144,23.2368643123643,0.0797,0.0,4.399922979123865
-16.5,,,,,,,0.0797,0.0,4.399922979123865
-16.0,,,,,,,0.0797,0.0,4.399922979123865
-15.5,,,,,,,0.0797,0.0,4.399922979123865
-15.0,,-61.70228887269112,6.628392045240746,,36.66660423413413,22.4166066908035,0.0797,0.0,4.399922979123865
-14.5,,,,,,,0.0797,0.0,4.399922979123865
-14.0,,,,,,,0.0797,0.0,4.399922979123865
-13.5,,,,,,,0.0797,0.0,4.399922979123865
-13.0,,51.21897668599983,47.511221605229885,,38.27434111785794,22.6027978047907,0.0797,0.0,4.399922979123865
-12.5,,,,,,,0.0797,0.0,4.399922979123865
-12.0,,,,,,,0.0797,0.0,4.399922979123865
-11.5,,,,,,,0.0797,0.0,4.399922979123865
-11.0,,135.95915088179254,78.8022179305947,,40.68632848635581,20.4705330777339,0.0797,0.0,4.399922979123865
-10.5,,,,,,,0.0797,0.0,4.399922979123865
-10.0,,,,,,,0.0797,0.0,4.399922979123865
-9.5,,,,,,,0.0797,0.0,4.399922979123865
-9.0,,,,,,,0.0797,0.0,4.399922979123865
-8.5,,,,,,,0.0797,0.0,4.399922979123865
-8.0,,,,,,,0.0797,0.0,4.399922979123865
-7.5,,,,,,,0.0797,0.0,4.399922979123865
-7.0,,,,,,,0.0797,0.0,4.399922979123865
-6.5,,,,,,,0.0797,0.0,4.399922979123865
