relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0422,13.1,3.072017071711824
-29.5,,,,,,,0.0422,13.1,3.072017071711824
-29.0,,-0.0873885387272887,-5.236012783538509,,23.236429867025,25.3582659976898,0.0422,13.1,3.072017071711824
-28.5,,,,,,,0.0422,13.1,3.072017071711824
-28.0,,,,,,,0.0422,13.1,3.072017071711824
-27.5,,,,,,,0.0422,13.1,3.072017071711824
-27.0,,,,,,,0.0422,13.1,3.072017071711824
-26.5,,,,,,,0.0422,13.1,3.072017071711824
-26.0,,42.053829333056875,13.209998096780588,,34.357789833764,28.0554973171736,0.0422,13.1,3.072017071711824
-25.5,,,,,,,0.0422,13.1,3.072017071711824
-25.0,,,,,,,0.0422,13.1,3.072017071711824
-24.5,,,,,,,0.0422,13.1,3.072017071711824
-24.0,,22.021801063914406,30.370070234577355,,25.0982320442201,23.420551409539,0.0422,13.1,3.072017071711824
-23.5,,,,,,,0.0422,13.1,3.072017071711824
-23.0,,,,,,,0.0422,13.1,3.072017071711824
-22.5,,,,,,,0.0422,13.1,3.072017071711824
-22.0,,29.54775807134392,-10.588301609542576,,29.0919194216233,25.2888777228917,0.0422,13.1,3.072017071711824
-21.5,,,,,,,0.0422,13.1,3.072017071711824
-21.0,,,,,,,0.0422,13.1,3.072017071711824
-20.5,,,,,,,0.0422,13.1,3.072017071711824
-20.0,,-16.228190556826615,0.8051370033832022,,31.9178965347948,30.1991466148487,0.0422,13.1,3.072017071711824
-19.5,,,,,,,0.0422,13.1,3.072017071711824
-19.0,,,,,,,0.0422,13.1,3.072017071711824
-18.5,,,,,,,0.0422,13.1,3.072017071711824
-18.0,,22.14915098526077,-4.167473452216228,,30.632489644862,27.4173454043055,0.0422,13.1,3.072017071711824
-17.5,,,,,,,0.0422,13.1,3.072017071711824
-17.0,,,,,,,0.0422,13.1,3.072017071711824
-16.5,,,,,,,0.0422,13.1,3.072017071711824
-16.0,,,,,,,0.0422,13.1,3.072017071711824
-15.5,,,,,,,0.0422,13.1,3.072017071711824
-15.0,,,,,,,0.0422,13.1,3.072017071711824
-14.5,,,,,,,0.0422,13.1,3.072017071711824
-14.0,,-72.6190881883927,28.67989542598276,,51.8741300720719,52.1346963395598,0.0422,13.1,3.072017071711824
-13.5,,,,,,,0.0422,13.1,3.072017071711824
-13.0,,,,,,,0.0422,13.1,3.072017071711824
-12.5,,,,,,,0.0422,13.1,3.072017071711824
-12.0,,,,,,,0.0422,13.1,3.072017071711824
-11.5,,,,,,,0.0422,13.1,3.072017071711824
-11.0,,,,,,,0.0422,13.1,3.072017071711824
-10.5,,,,,,,0.0422,13.1,3.072017071711824
-10.0,,91.43692742926594,137.4393079798216,,60.3793557728594,80.436724732483,0.0422,13.1,3.072017071711824
-9.5,,,,,,,0.0422,13.1,3.072017071711824
-9.0,,,,,,,0.0422,13.1,3.072017071711824
-8.5,,,,,,,0.0422,13.1,3.072017071711824
-8.0,,-30.339105282422683,93.09711410927873,,52.093217346528,55.6493984748542,0.0422,13.1,3.072017071711824
-7.5,,,,,,,0.0422,13.1,3.072017071711824
-7.0,,,,,,,0.0422,13.1,3.072017071711824
-6.5,,,,,,,0.0422,13.1,3.072017071711824
-6.0,,88.29925144432177,74.448871899253,,37.1036493872409,36.810372968238,0.0422,13.1,3.072017071711824
-5.5,,,,,,,0.0422,13.1,3.072017071711824
-5.0,,,,,,,0.0422,13.1,3.072017071711824
-4.5,,,,,,,0.0422,13.1,3.072017071711824
