relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,14.350811998399774,-37.604944899903735,,76.05963041099113,21.707648204425077,0.0713,22.0,3.814964686016839
-29.5,,,,,,,0.0713,22.0,3.814964686016839
-29.0,,,,,,,0.0713,22.0,3.814964686016839
-28.5,,,,,,,0.0713,22.0,3.814964686016839
-28.0,,-25.257188031970557,8.995176109191588,,81.42630672856532,27.1775931071954,0.0713,22.0,3.814964686016839
-27.5,,,,,,,0.0713,22.0,3.814964686016839
-27.0,,-40.28376718522756,29.975326268480035,,46.89037816281818,17.8056432232001,0.0713,22.0,3.814964686016839
-26.5,,,,,,,0.0713,22.0,3.814964686016839
-26.0,,20.247970194661228,-19.384170189909682,,61.89707002791393,18.499220855935,0.0713,22.0,3.814964686016839
-25.5,,,,,,,0.0713,22.0,3.814964686016839
-25.0,,-48.11462791711522,-38.387925273760764,,80.33390742203395,18.9654641308979,0.0713,22.0,3.814964686016839
-24.5,,,,,,,0.0713,22.0,3.814964686016839
-24.0,,38.01664736395515,34.4645798823993,,77.20826493977485,25.4996321172626,0.0713,22.0,3.814964686016839
-23.5,,,,,,,0.0713,22.0,3.814964686016839
-23.0,,13.124493662139123,-75.6556428201036,,71.70836737077117,26.7332078909825,0.0713,22.0,3.814964686016839
-22.5,,,,,,,0.0713,22.0,3.814964686016839
-22.0,,54.00405648270708,44.20709757779341,,94.23702719550133,18.3442129245342,0.0713,22.0,3.814964686016839
-21.5,,,,,,,0.0713,22.0,3.814964686016839
-21.0,,-11.675970749126826,-10.812520888187935,,53.63761044807298,18.6037900808657,0.0713,22.0,3.814964686016839
-20.5,,,,,,,0.0713,22.0,3.814964686016839
-20.0,,,,,,,0.0713,22.0,3.814964686016839
-19.5,,,,,,,0.0713,22.0,3.814964686016839
-19.0,,-15.822974613749047,-177.0338813495891,,84.74121559580297,68.9428310643406,0.0713,22.0,3.814964686016839
-18.5,,,,,,,0.0713,22.0,3.814964686016839
-18.0,,,,,,,0.0713,22.0,3.814964686016839
-17.5,,,,,,,0.0713,22.0,3.814964686016839
-17.0,,-27.596126223400177,4.798687226375931,,95.10702443874642,23.683327183824925,0.0713,22.0,3.814964686016839
-16.5,,,,,,,0.0713,22.0,3.814964686016839
-16.0,,,,,,,0.0713,22.0,3.814964686016839
-15.5,,,,,,,0.0713,22.0,3.814964686016839
-15.0,,,,,,,0.0713,22.0,3.814964686016839
-14.5,,,,,,,0.0713,22.0,3.814964686016839
-14.0,,,,,,,0.0713,22.0,3.814964686016839
-13.5,,,,,,,0.0713,22.0,3.814964686016839
-13.0,,-49.21472143651667,-35.43342947387342,,118.25928347977312,58.26261222293567,0.0713,22.0,3.814964686016839
-12.5,,,,,,,0.0713,22.0,3.814964686016839
-12.0,,,,,,,0.0713,22.0,3.814964686016839
-11.5,,,,,,,0.0713,22.0,3.814964686016839
-11.0,,15.572451593754625,-92.27269678500534,,120.94235333197237,47.55342056205203,0.0713,22.0,3.814964686016839
-10.5,,,,,,,0.0713,22.0,3.814964686016839
-10.0,,,,,,,0.0713,22.0,3.814964686016839
-9.5,,,,,,,0.0713,22.0,3.814964686016839
-9.0,,-1.8368745329007545,13.721386575927497,,119.48439408003752,33.12463659692587,0.0713,22.0,3.814964686016839
-8.5,,,,,,,0.0713,22.0,3.814964686016839
-8.0,,,,,,,0.0713,22.0,3.814964686016839
-7.5,,,,,,,0.0713,22.0,3.814964686016839
