relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-60.74497619888943,-42.6273075519061,,26.6067162039389,27.1989331235068,0.0528,17.1,4.669688307466451
-29.5,,,,,,,0.0528,17.1,4.669688307466451
-29.0,,35.13743570926442,57.02206879925755,,28.3241628631452,29.1742697113971,0.0528,17.1,4.669688307466451
-28.5,,,,,,,0.0528,17.1,4.669688307466451
-28.0,,-35.403734971566514,-16.306280826265375,,36.0452892156444,35.5013089478255,0.0528,17.1,4.669688307466451
-27.5,,,,,,,0.0528,17.1,4.669688307466451
-27.0,,-13.975066036430894,42.52652659298947,,26.5892518958685,29.0367510242465,0.0528,17.1,4.669688307466451
-26.5,,,,,,,0.0528,17.1,4.669688307466451
-26.0,,,22.34947924509749,,,42.1949091088179,0.0528,17.1,4.669688307466451
-25.5,,,,,,,0.0528,17.1,4.669688307466451
-25.0,,,56.11762658515846,,,67.3215655285163,0.0528,17.1,4.669688307466451
-24.5,,,,,,,0.0528,17.1,4.669688307466451
-24.0,,-37.501787043557904,60.43229646964251,,49.5575141079515,53.9257875237107,0.0528,17.1,4.669688307466451
-23.5,,,,,,,0.0528,17.1,4.669688307466451
-23.0,,-4.703571603009122,-24.55247370152028,,46.5532931610159,49.4753830075173,0.0528,17.1,4.669688307466451
-22.5,,,,,,,0.0528,17.1,4.669688307466451
-22.0,,-27.132909360937862,27.407673741898304,,71.1689808044907,63.75890344172,0.0528,17.1,4.669688307466451
-21.5,,,,,,,0.0528,17.1,4.669688307466451
-21.0,,,,,,,0.0528,17.1,4.669688307466451
-20.5,,,,,,,0.0528,17.1,4.669688307466451
-20.0,,,,,,,0.0528,17.1,4.669688307466451
-19.5,,,,,,,0.0528,17.1,4.669688307466451
-19.0,,-35.20203356016489,2.0874829608001444,,43.1495358936973,64.2860363946619,0.0528,17.1,4.669688307466451
-18.5,,,,,,,0.0528,17.1,4.669688307466451
-18.0,,-61.938755809185245,-33.86121309830377,,51.9303468412285,66.1406897006344,0.0528,17.1,4.669688307466451
-17.5,,,,,,,0.0528,17.1,4.669688307466451
-17.0,,-39.17140374073208,-89.29361902543367,,43.8304745690498,50.8785954613576,0.0528,17.1,4.669688307466451
-16.5,,,,,,,0.0528,17.1,4.669688307466451
-16.0,,-84.95301622509004,-31.281809246173445,,42.2211647858793,64.3210579503332,0.0528,17.1,4.669688307466451
-15.5,,,,,,,0.0528,17.1,4.669688307466451
-15.0,,-22.537449645176533,19.816127324523453,,35.4313722860382,36.5711348587205,0.0528,17.1,4.669688307466451
-14.5,,,,,,,0.0528,17.1,4.669688307466451
-14.0,,,-28.321678003785383,,,39.0115528213021,0.0528,17.1,4.669688307466451
-13.5,,,,,,,0.0528,17.1,4.669688307466451
-13.0,,77.04535815138645,-54.83233872842284,,26.857542589311,31.0334555041416,0.0528,17.1,4.669688307466451
-12.5,,,,,,,0.0528,17.1,4.669688307466451
-12.0,,-161.16643463953594,-34.00070585368952,,28.3564997477789,25.9502779645081,0.0528,17.1,4.669688307466451
-11.5,,,,,,,0.0528,17.1,4.669688307466451
-11.0,,,,,,,0.0528,17.1,4.669688307466451
-10.5,,,,,,,0.0528,17.1,4.669688307466451
-10.0,,-23.653712685044052,17.577114493790507,,22.1174423478771,20.2494011835235,0.0528,17.1,4.669688307466451
-9.5,,,,,,,0.0528,17.1,4.669688307466451
-9.0,,-80.26018867246262,-97.7184246673641,,26.8226247503623,31.565969951067,0.0528,17.1,4.669688307466451
-8.5,,,,,,,0.0528,17.1,4.669688307466451
-8.0,,27.066425636968823,-19.270280523643397,,25.1955680848396,30.3556034228937,0.0528,17.1,4.669688307466451
-7.5,,,,,,,0.0528,17.1,4.669688307466451
-7.0,,49.12827310335401,-3.6425886885419763,,31.104611550748,27.8691574192045,0.0528,17.1,4.669688307466451
-6.5,,,,,,,0.0528,17.1,4.669688307466451
-6.0,,80.04445320604098,,,25.4737312397693,,0.0528,17.1,4.669688307466451
-5.5,,,,,,,0.0528,17.1,4.669688307466451
