relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0397,9.1,1.8703653831983384
-29.5,,,,,,,0.0397,9.1,1.8703653831983384
-29.0,,-34.86925985618418,27.755881909496736,,24.0872049885266,26.9778565669378,0.0397,9.1,1.8703653831983384
-28.5,,,,,,,0.0397,9.1,1.8703653831983384
-28.0,,,,,,,0.0397,9.1,1.8703653831983384
-27.5,,,,,,,0.0397,9.1,1.8703653831983384
-27.0,,-23.634612562879155,42.12266653692271,,23.4114167782909,25.0024874577772,0.0397,9.1,1.8703653831983384
-26.5,,,,,,,0.0397,9.1,1.8703653831983384
-26.0,,,,,,,0.0397,9.1,1.8703653831983384
-25.5,,,,,,,0.0397,9.1,1.8703653831983384
-25.0,,-17.18305991381215,24.533117890018207,,27.7915938659386,29.9705968955334,0.0397,9.1,1.8703653831983384
-24.5,,,,,,,0.0397,9.1,1.8703653831983384
-24.0,,,,,,,0.0397,9.1,1.8703653831983384
-23.5,,,,,,,0.0397,9.1,1.8703653831983384
-23.0,,,7.4942217053465106,,,34.6559878823622,0.0397,9.1,1.8703653831983384
-22.5,,,,,,,0.0397,9.1,1.8703653831983384
-22.0,,,,,,,0.0397,9.1,1.8703653831983384
-21.5,,,,,,,0.0397,9.1,1.8703653831983384
-21.0,,-8.203402363921056,-45.60364962530449,,42.2737253854942,47.5128353659089,0.0397,9.1,1.8703653831983384
-20.5,,,,,,,0.0397,9.1,1.8703653831983384
-20.0,,,,,,,0.0397,9.1,1.8703653831983384
-19.5,,,,,,,0.0397,9.1,1.8703653831983384
-19.0,,46.87318586030403,-48.53623021538511,,42.6885417938796,68.2122210652082,0.0397,9.1,1.8703653831983384
-18.5,,,,,,,0.0397,9.1,1.8703653831983384
-18.0,,,,,,,0.0397,9.1,1.8703653831983384
-17.5,,,,,,,0.0397,9.1,1.8703653831983384
-17.0,,,,,,,0.0397,9.1,1.8703653831983384
-16.5,,,,,,,0.0397,9.1,1.8703653831983384
-16.0,194.3317300528576,,,116.39541034480531,,,0.0397,9.1,1.8703653831983384
-15.5,-51.92921594369912,,,134.84819804503852,,,0.0397,9.1,1.8703653831983384
-15.0,-51.26898902112492,64.00517312693033,63.53096963533443,139.56832955002554,46.1832062893118,56.4642023673933,0.0397,9.1,1.8703653831983384
-14.5,-131.60285305149839,,,137.3725208355708,,,0.0397,9.1,1.8703653831983384
-14.0,-131.03382824388444,,,137.6475403628996,,,0.0397,9.1,1.8703653831983384
-13.5,16.376491764180212,,,128.2167005694954,,,0.0397,9.1,1.8703653831983384
-13.0,21.79768092418102,26.511043061974185,64.68846928061771,131.56588116362477,35.6615184567636,37.901282928627,0.0397,9.1,1.8703653831983384
-12.5,-24.42278019483686,,,130.93209500517085,,,0.0397,9.1,1.8703653831983384
-12.0,12.839976816648566,,,132.11872790691083,,,0.0397,9.1,1.8703653831983384
-11.5,100.74603081101829,,,131.03265360770024,,,0.0397,9.1,1.8703653831983384
-11.0,61.336998621428236,,-21.249679289201996,131.51944748958493,,32.5774480346383,0.0397,9.1,1.8703653831983384
-10.5,50.72726234378381,,,133.4259881053345,,,0.0397,9.1,1.8703653831983384
-10.0,22.15721576577341,,,135.7408243276068,,,0.0397,9.1,1.8703653831983384
-9.5,44.61319349698188,,,133.32686927187447,,,0.0397,9.1,1.8703653831983384
-9.0,49.99954899266643,7.814748738713792,50.64535171409014,132.52726588514753,28.0568920287507,28.8379603400097,0.0397,9.1,1.8703653831983384
-8.5,77.11821676139184,,,128.1870653820549,,,0.0397,9.1,1.8703653831983384
-8.0,86.06088082029969,,,126.93447043357828,,,0.0397,9.1,1.8703653831983384
-7.5,128.12331683640602,,,128.79633258204987,,,0.0397,9.1,1.8703653831983384
