relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.027,14.1,4.76535996075381
-29.5,,,,,,,0.027,14.1,4.76535996075381
-29.0,,-0.19568903120564196,-46.693076261878964,,33.4646393229023,27.1442418907748,0.027,14.1,4.76535996075381
-28.5,,,,,,,0.027,14.1,4.76535996075381
-28.0,,,,,,,0.027,14.1,4.76535996075381
-27.5,,,,,,,0.027,14.1,4.76535996075381
-27.0,,,-39.0165762790939,,,31.3910372078617,0.027,14.1,4.76535996075381
-26.5,,,,,,,0.027,14.1,4.76535996075381
-26.0,,,,,,,0.027,14.1,4.76535996075381
-25.5,,,,,,,0.027,14.1,4.76535996075381
-25.0,,36.90833479738395,-30.04181235244153,,47.7528663753506,47.0424207851594,0.027,14.1,4.76535996075381
-24.5,,,,,,,0.027,14.1,4.76535996075381
-24.0,,,,,,,0.027,14.1,4.76535996075381
-23.5,,,,,,,0.027,14.1,4.76535996075381
-23.0,,46.25922203777619,-41.01881407494861,,67.0866811297123,53.9096812281012,0.027,14.1,4.76535996075381
-22.5,,,,,,,0.027,14.1,4.76535996075381
-22.0,,,,,,,0.027,14.1,4.76535996075381
-21.5,,,,,,,0.027,14.1,4.76535996075381
-21.0,,,,,,,0.027,14.1,4.76535996075381
-20.5,,,,,,,0.027,14.1,4.76535996075381
-20.0,,,,,,,0.027,14.1,4.76535996075381
-19.5,,,,,,,0.027,14.1,4.76535996075381
-19.0,,-59.08522810026512,5.625930450475019,,48.2662340565471,50.7396758669598,0.027,14.1,4.76535996075381
-18.5,,,,,,,0.027,14.1,4.76535996075381
-18.0,,,,,,,0.027,14.1,4.76535996075381
-17.5,,,,,,,0.027,14.1,4.76535996075381
-17.0,,27.42883857679994,28.335147031466057,,38.9801192047525,38.4219513194603,0.027,14.1,4.76535996075381
-16.5,,,,,,,0.027,14.1,4.76535996075381
-16.0,,,,,,,0.027,14.1,4.76535996075381
-15.5,,,,,,,0.027,14.1,4.76535996075381
-15.0,,,39.82585770440054,,,32.4557033420996,0.027,14.1,4.76535996075381
-14.5,,,,,,,0.027,14.1,4.76535996075381
-14.0,,,,,,,0.027,14.1,4.76535996075381
-13.5,,,,,,,0.027,14.1,4.76535996075381
-13.0,,35.59722100441663,-39.75702175136995,,26.5721422210227,22.1904273335175,0.027,14.1,4.76535996075381
-12.5,,,,,,,0.027,14.1,4.76535996075381
-12.0,,,,,,,0.027,14.1,4.76535996075381
-11.5,,,,,,,0.027,14.1,4.76535996075381
-11.0,,,,,,,0.027,14.1,4.76535996075381
-10.5,,,,,,,0.027,14.1,4.76535996075381
-10.0,,27.651326826234826,-5.776341339634271,,32.7529129694971,31.5727285507872,0.027,14.1,4.76535996075381
-9.5,,,,,,,0.027,14.1,4.76535996075381
-9.0,,,,,,,0.027,14.1,4.76535996075381
-8.5,,,,,,,0.027,14.1,4.76535996075381
-8.0,,8.241018350015551,-16.25806410808252,,29.6653102208982,22.2189758580595,0.027,14.1,4.76535996075381
-7.5,,,,,,,0.027,14.1,4.76535996075381
-7.0,,,,,,,0.027,14.1,4.76535996075381
-6.5,,,,,,,0.027,14.1,4.76535996075381
-6.0,,57.837159539846034,25.200647879015687,,28.9867689026234,27.3013921558781,0.027,14.1,4.76535996075381
-5.5,,,,,,,0.027,14.1,4.76535996075381
-5.0,,,,,,,0.027,14.1,4.76535996075381
-4.5,,,,,,,0.027,14.1,4.76535996075381
-4.0,,8.31816831111459,61.74556045939288,,28.190413773702,25.7044278219695,0.027,14.1,4.76535996075381
-3.5,,,,,,,0.027,14.1,4.76535996075381
-3.0,,,,,,,0.027,14.1,4.76535996075381
-2.5,,,,,,,0.027,14.1,4.76535996075381
-2.0,,122.33793823293523,68.5363064511439,,27.8643144655794,21.9512070647777,0.027,14.1,4.76535996075381
-1.5,,,,,,,0.027,14.1,4.76535996075381
-1.0,,,,,,,0.027,14.1,4.76535996075381
-0.5,,,,,,,0.027,14.1,4.76535996075381
0.0,,256.0685064178953,119.84975268107459,,31.5563183837876,23.2674644564997,0.027,14.1,4.76535996075381
0.5,,,,,,,0.027,14.1,4.76535996075381
1.0,,,,,,,0.027,14.1,4.76535996075381
1.5,,,,,,,0.027,14.1,4.76535996075381
2.0,,340.48973707018297,278.1620732048679,,31.5575438186159,24.2085024873266,0.027,14.1,4.76535996075381
2.5,,,,,,,0.027,14.1,4.76535996075381
3.0,,,,,,,0.027,14.1,4.76535996075381
3.5,,,,,,,0.027,14.1,4.76535996075381
4.0,,,,,,,0.027,14.1,4.76535996075381
4.5,,,,,,,0.027,14.1,4.76535996075381
5.0,,517.3426079272882,381.16812603359455,,39.0915133650814,44.2202270890202,0.027,14.1,4.76535996075381
5.5,,,,,,,0.027,14.1,4.76535996075381
6.0,,,,,,,0.027,14.1,4.76535996075381
6.5,,,,,,,0.027,14.1,4.76535996075381
7.0,,,72.61758218649344,,,82.3120000073545,0.027,14.1,4.76535996075381
7.5,,,,,,,0.027,14.1,4.76535996075381
8.0,,,,,,,0.027,14.1,4.76535996075381
8.5,,,,,,,0.027,14.1,4.76535996075381
9.0,,596.6325016124266,,,69.2952254748975,,0.027,14.1,4.76535996075381
9.5,,,,,,,0.027,14.1,4.76535996075381
10.0,,,,,,,0.027,14.1,4.76535996075381
10.5,,,,,,,0.027,14.1,4.76535996075381
11.0,,,,,,,0.027,14.1,4.76535996075381
11.5,,,,,,,0.027,14.1,4.76535996075381
12.0,,,,,,,0.027,14.1,4.76535996075381
12.5,,,,,,,0.027,14.1,4.76535996075381
13.0,,506.30603634804504,171.3762248659073,,55.0255212804389,54.9369602875707,0.027,14.1,4.76535996075381
13.5,,,,,,,0.027,14.1,4.76535996075381
14.0,,,,,,,0.027,14.1,4.76535996075381
