relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,154.76500689580874,,,68.7837131289146,0.4058,9.1,6.604614548430009
-29.5,,,,,,,0.4058,9.1,6.604614548430009
-29.0,,,,,,,0.4058,9.1,6.604614548430009
-28.5,,,,,,,0.4058,9.1,6.604614548430009
-28.0,,-153.71757020864737,-169.46399475680502,,37.55894561622398,31.9832062746101,0.4058,9.1,6.604614548430009
-27.5,,,,,,,0.4058,9.1,6.604614548430009
-27.0,,,,,,,0.4058,9.1,6.604614548430009
-26.5,,,,,,,0.4058,9.1,6.604614548430009
-26.0,,,,,,,0.4058,9.1,6.604614548430009
-25.5,,,,,,,0.4058,9.1,6.604614548430009
-25.0,,,175.3290569708689,,,22.9325458774884,0.4058,9.1,6.604614548430009
-24.5,,,,,,,0.4058,9.1,6.604614548430009
-24.0,,,,,,,0.4058,9.1,6.604614548430009
-23.5,,,,,,,0.4058,9.1,6.604614548430009
-23.0,,,,,,,0.4058,9.1,6.604614548430009
-22.5,,,,,,,0.4058,9.1,6.604614548430009
-22.0,,-207.23536108359855,-282.4389912520612,,26.27792979431511,23.7994302126583,0.4058,9.1,6.604614548430009
-21.5,,,,,,,0.4058,9.1,6.604614548430009
-21.0,,,,,,,0.4058,9.1,6.604614548430009
-20.5,,,,,,,0.4058,9.1,6.604614548430009
-20.0,,-209.31888748189976,-12.584688537756344,,35.0783770033608,24.1021005281784,0.4058,9.1,6.604614548430009
-19.5,,,,,,,0.4058,9.1,6.604614548430009
-19.0,,,,,,,0.4058,9.1,6.604614548430009
-18.5,,,,,,,0.4058,9.1,6.604614548430009
-18.0,,-124.2907578748012,-146.50027009133007,,27.11965055753126,24.6019518705192,0.4058,9.1,6.604614548430009
-17.5,,,,,,,0.4058,9.1,6.604614548430009
-17.0,,,,,,,0.4058,9.1,6.604614548430009
-16.5,,,,,,,0.4058,9.1,6.604614548430009
-16.0,,,,,,,0.4058,9.1,6.604614548430009
-15.5,,,,,,,0.4058,9.1,6.604614548430009
-15.0,,,,,,,0.4058,9.1,6.604614548430009
-14.5,,,,,,,0.4058,9.1,6.604614548430009
-14.0,,,-71.35502557369891,,,18.6094985600238,0.4058,9.1,6.604614548430009
-13.5,,,,,,,0.4058,9.1,6.604614548430009
-13.0,,,,,,,0.4058,9.1,6.604614548430009
-12.5,,,,,,,0.4058,9.1,6.604614548430009
-12.0,,-258.05562798078853,,,28.95616150217337,,0.4058,9.1,6.604614548430009
-11.5,,,,,,,0.4058,9.1,6.604614548430009
-11.0,,,,,,,0.4058,9.1,6.604614548430009
-10.5,,,,,,,0.4058,9.1,6.604614548430009
-10.0,,,-78.36178642544097,,,19.1299143770269,0.4058,9.1,6.604614548430009
-9.5,,,,,,,0.4058,9.1,6.604614548430009
-9.0,,,,,,,0.4058,9.1,6.604614548430009
-8.5,,,,,,,0.4058,9.1,6.604614548430009
-8.0,,,,,,,0.4058,9.1,6.604614548430009
-7.5,,,,,,,0.4058,9.1,6.604614548430009
-7.0,,,22.901162312502223,,,20.6228447098078,0.4058,9.1,6.604614548430009
-6.5,,,,,,,0.4058,9.1,6.604614548430009
