relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,5.576542303234765,53.0079987074586,,33.2283682298633,25.4818028082857,0.0159,10.9,3.8121020739510927
-29.5,,,,,,,0.0159,10.9,3.8121020739510927
-29.0,,,,,,,0.0159,10.9,3.8121020739510927
-28.5,,,,,,,0.0159,10.9,3.8121020739510927
-28.0,,,,,,,0.0159,10.9,3.8121020739510927
-27.5,,,,,,,0.0159,10.9,3.8121020739510927
-27.0,,8.229108535621451,23.12103451233671,,28.1381914647351,30.8478459007578,0.0159,10.9,3.8121020739510927
-26.5,,,,,,,0.0159,10.9,3.8121020739510927
-26.0,,,,,,,0.0159,10.9,3.8121020739510927
-25.5,,,,,,,0.0159,10.9,3.8121020739510927
-25.0,,11.057131478557396,10.074658298747183,,38.692705217003,30.1264239465921,0.0159,10.9,3.8121020739510927
-24.5,,,,,,,0.0159,10.9,3.8121020739510927
-24.0,,,,,,,0.0159,10.9,3.8121020739510927
-23.5,,,,,,,0.0159,10.9,3.8121020739510927
-23.0,,20.680005881751075,-19.041579557631255,,33.2204615374535,36.750500713586,0.0159,10.9,3.8121020739510927
-22.5,,,,,,,0.0159,10.9,3.8121020739510927
-22.0,,,,,,,0.0159,10.9,3.8121020739510927
-21.5,,,,,,,0.0159,10.9,3.8121020739510927
-21.0,,-41.57908675509212,-14.334162705143042,,34.7761215625194,34.6500931132596,0.0159,10.9,3.8121020739510927
-20.5,,,,,,,0.0159,10.9,3.8121020739510927
-20.0,,,,,,,0.0159,10.9,3.8121020739510927
-19.5,,,,,,,0.0159,10.9,3.8121020739510927
-19.0,,24.42224507424489,-10.588382814598978,,34.6969657049055,26.9071584177299,0.0159,10.9,3.8121020739510927
-18.5,,,,,,,0.0159,10.9,3.8121020739510927
-18.0,,,,,,,0.0159,10.9,3.8121020739510927
-17.5,,,,,,,0.0159,10.9,3.8121020739510927
-17.0,,-12.54244658493675,-6.8279739452553585,,36.5063786220715,26.482083168676,0.0159,10.9,3.8121020739510927
-16.5,,,,,,,0.0159,10.9,3.8121020739510927
-16.0,,,,,,,0.0159,10.9,3.8121020739510927
-15.5,,,,,,,0.0159,10.9,3.8121020739510927
-15.0,,-13.872712137681164,-20.667262737626196,,38.4823721535075,28.4772231874689,0.0159,10.9,3.8121020739510927
-14.5,,,,,,,0.0159,10.9,3.8121020739510927
-14.0,,,,,,,0.0159,10.9,3.8121020739510927
-13.5,,,,,,,0.0159,10.9,3.8121020739510927
-13.0,,,,,,,0.0159,10.9,3.8121020739510927
-12.5,,,,,,,0.0159,10.9,3.8121020739510927
-12.0,,52.22221788096039,5.539859800599979,,42.6785096570194,48.8079285964473,0.0159,10.9,3.8121020739510927
-11.5,,,,,,,0.0159,10.9,3.8121020739510927
-11.0,,,,,,,0.0159,10.9,3.8121020739510927
-10.5,,,,,,,0.0159,10.9,3.8121020739510927
-10.0,,,,,,,0.0159,10.9,3.8121020739510927
-9.5,,,,,,,0.0159,10.9,3.8121020739510927
-9.0,,,,,,,0.0159,10.9,3.8121020739510927
-8.5,,,,,,,0.0159,10.9,3.8121020739510927
-8.0,,,56.61256350066624,,,79.1577638318917,0.0159,10.9,3.8121020739510927
-7.5,-32.264417778581816,,,236.14907621500456,,,0.0159,10.9,3.8121020739510927
-7.0,-259.9572954406141,,,245.97827725104676,,,0.0159,10.9,3.8121020739510927
-6.5,-88.1293139019439,,,238.03320726242058,,,0.0159,10.9,3.8121020739510927
-6.0,-17.91342859295664,,,233.34476533476123,,,0.0159,10.9,3.8121020739510927
-5.5,38.34865830479819,,,216.25370028697438,,,0.0159,10.9,3.8121020739510927
-5.0,241.52910878699655,,,217.40194227309794,,,0.0159,10.9,3.8121020739510927
-4.5,138.8891813195858,,,213.0973486532542,,,0.0159,10.9,3.8121020739510927
-4.0,94.30124947533466,-60.02999251079939,160.88144423381954,216.98276481259347,89.1085829285325,24.8552719967038,0.0159,10.9,3.8121020739510927
-3.5,166.2098062649373,,,214.87083763313754,,,0.0159,10.9,3.8121020739510927
-3.0,157.7375048078776,,,213.4104309727728,,,0.0159,10.9,3.8121020739510927
-2.5,245.79798316617385,,,215.2884625245907,,,0.0159,10.9,3.8121020739510927
-2.0,339.3369384677902,,,215.682873444743,,,0.0159,10.9,3.8121020739510927
-1.5,339.94100387687763,,,210.5038490858307,,,0.0159,10.9,3.8121020739510927
-1.0,368.2755687266525,,,215.71122895234112,,,0.0159,10.9,3.8121020739510927
-0.5,261.00644558894226,,,214.19040514586467,,,0.0159,10.9,3.8121020739510927
0.0,373.8015789368044,409.8464515650441,399.3535765847964,215.92221264550344,35.1072851660263,32.0609260759524,0.0159,10.9,3.8121020739510927
0.5,432.10420891649835,,,219.14090735120072,,,0.0159,10.9,3.8121020739510927
1.0,491.16949796153665,,,226.01334179195555,,,0.0159,10.9,3.8121020739510927
1.5,493.4335783305885,,,225.47904590750238,,,0.0159,10.9,3.8121020739510927
2.0,542.5772316991129,,,224.65496127980046,,,0.0159,10.9,3.8121020739510927
2.5,575.8115940539096,,,218.35246376918948,,,0.0159,10.9,3.8121020739510927
3.0,531.1711101535881,,,198.0168456229685,,,0.0159,10.9,3.8121020739510927
3.5,247.78020087334286,,,177.27273643329175,,,0.0159,10.9,3.8121020739510927
4.0,128.8702561526809,,,176.609483039184,,,0.0159,10.9,3.8121020739510927
4.5,188.47366999967178,,,173.18089007968558,,,0.0159,10.9,3.8121020739510927
5.0,190.52383806025196,,,175.936396540988,,,0.0159,10.9,3.8121020739510927
5.5,,,,,,,0.0159,10.9,3.8121020739510927
6.0,473.9724644130365,,,177.6977740586246,,,0.0159,10.9,3.8121020739510927
6.5,527.6522029486515,,,216.30046289618852,,,0.0159,10.9,3.8121020739510927
7.0,523.9776103513243,,,228.6143205305713,,,0.0159,10.9,3.8121020739510927
7.5,560.7594881650681,,,221.13921407757687,,,0.0159,10.9,3.8121020739510927
8.0,506.38627375181306,,,221.82278024818436,,,0.0159,10.9,3.8121020739510927
8.5,563.8070832722111,,,215.34996903024972,,,0.0159,10.9,3.8121020739510927
9.0,523.4075577763515,,,214.9354537754353,,,0.0159,10.9,3.8121020739510927
9.5,545.8612052410658,,,213.13677237605808,,,0.0159,10.9,3.8121020739510927
10.0,543.8554114489432,,,215.6602106571219,,,0.0159,10.9,3.8121020739510927
10.5,612.8340657920228,,,208.96840775186348,,,0.0159,10.9,3.8121020739510927
11.0,610.9215979718475,,,207.24594310784803,,,0.0159,10.9,3.8121020739510927
11.5,689.8889365528731,,,203.90849356914532,,,0.0159,10.9,3.8121020739510927
12.0,653.2160650550803,,,206.9519223430907,,,0.0159,10.9,3.8121020739510927
12.5,611.6000104855519,,,206.14960054051082,,,0.0159,10.9,3.8121020739510927
13.0,522.0150001933383,,,208.07830869561909,,,0.0159,10.9,3.8121020739510927
13.5,529.4650568927589,,,209.70663179301684,,,0.0159,10.9,3.8121020739510927
14.0,517.7362001836767,636.0225695415711,458.86398729987644,215.38684502573145,40.875687648813,44.6782979728493,0.0159,10.9,3.8121020739510927
14.5,535.9697305186462,,,214.98830148795577,,,0.0159,10.9,3.8121020739510927
15.0,404.7572874290273,,,221.02852370289835,,,0.0159,10.9,3.8121020739510927
15.5,466.01313352338093,,,217.4402222778165,,,0.0159,10.9,3.8121020739510927
16.0,508.34799463991,,,224.86894526330454,,,0.0159,10.9,3.8121020739510927
16.5,589.6607966039966,,,217.0760479562181,,,0.0159,10.9,3.8121020739510927
17.0,594.368418667503,,,204.0398708414587,,,0.0159,10.9,3.8121020739510927
17.5,108.46962583116604,,,181.26856670578334,,,0.0159,10.9,3.8121020739510927
18.0,142.64081656348066,,,176.66388026041113,,,0.0159,10.9,3.8121020739510927
18.5,-20.855047097513594,,,177.33796378699182,,,0.0159,10.9,3.8121020739510927
