relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0301,12.5,2.4268749910578875
-29.5,,,,,,,0.0301,12.5,2.4268749910578875
-29.0,,,,,,,0.0301,12.5,2.4268749910578875
-28.5,,,,,,,0.0301,12.5,2.4268749910578875
-28.0,,,,,,,0.0301,12.5,2.4268749910578875
-27.5,,,,,,,0.0301,12.5,2.4268749910578875
-27.0,,,,,,,0.0301,12.5,2.4268749910578875
-26.5,,,,,,,0.0301,12.5,2.4268749910578875
-26.0,,53.343481841860914,12.264934940408875,,22.9688738265849,22.5892087028309,0.0301,12.5,2.4268749910578875
-25.5,,,,,,,0.0301,12.5,2.4268749910578875
-25.0,,,,,,,0.0301,12.5,2.4268749910578875
-24.5,,,,,,,0.0301,12.5,2.4268749910578875
-24.0,,14.523833440704891,33.5364500971068,,23.5791366317032,19.7898378070922,0.0301,12.5,2.4268749910578875
-23.5,,,,,,,0.0301,12.5,2.4268749910578875
-23.0,,,,,,,0.0301,12.5,2.4268749910578875
-22.5,,,,,,,0.0301,12.5,2.4268749910578875
-22.0,,,,,,,0.0301,12.5,2.4268749910578875
-21.5,,,,,,,0.0301,12.5,2.4268749910578875
-21.0,,-1.9815203033401314,32.956676619587874,,30.6062902445694,25.5624455683588,0.0301,12.5,2.4268749910578875
-20.5,,,,,,,0.0301,12.5,2.4268749910578875
-20.0,,,,,,,0.0301,12.5,2.4268749910578875
-19.5,,,,,,,0.0301,12.5,2.4268749910578875
-19.0,,,,,,,0.0301,12.5,2.4268749910578875
-18.5,,,,,,,0.0301,12.5,2.4268749910578875
-18.0,,,,,,,0.0301,12.5,2.4268749910578875
-17.5,,,,,,,0.0301,12.5,2.4268749910578875
-17.0,,,,,,,0.0301,12.5,2.4268749910578875
-16.5,,,,,,,0.0301,12.5,2.4268749910578875
-16.0,,,,,,,0.0301,12.5,2.4268749910578875
-15.5,,,,,,,0.0301,12.5,2.4268749910578875
-15.0,,,,,,,0.0301,12.5,2.4268749910578875
-14.5,,,,,,,0.0301,12.5,2.4268749910578875
-14.0,,,,,,,0.0301,12.5,2.4268749910578875
-13.5,,,,,,,0.0301,12.5,2.4268749910578875
