relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.1377,10.4,1.5856123948388732
-29.5,,,,,,,0.1377,10.4,1.5856123948388732
-29.0,,,,,,,0.1377,10.4,1.5856123948388732
-28.5,,,,,,,0.1377,10.4,1.5856123948388732
-28.0,,24.582831441138577,-8.221596787249494,,47.2079875163975,29.2281998726159,0.1377,10.4,1.5856123948388732
-27.5,,,,,,,0.1377,10.4,1.5856123948388732
-27.0,,,,,,,0.1377,10.4,1.5856123948388732
-26.5,,,,,,,0.1377,10.4,1.5856123948388732
-26.0,,,,,,,0.1377,10.4,1.5856123948388732
-25.5,,,,,,,0.1377,10.4,1.5856123948388732
-25.0,,78.96367168911594,39.40984374533209,,83.627176554839,107.630727810537,0.1377,10.4,1.5856123948388732
-24.5,,,,,,,0.1377,10.4,1.5856123948388732
-24.0,,,,,,,0.1377,10.4,1.5856123948388732
-23.5,,,,,,,0.1377,10.4,1.5856123948388732
-23.0,,,,,,,0.1377,10.4,1.5856123948388732
-22.5,,,,,,,0.1377,10.4,1.5856123948388732
-22.0,,,,,,,0.1377,10.4,1.5856123948388732
-21.5,,,,,,,0.1377,10.4,1.5856123948388732
-21.0,,,,,,,0.1377,10.4,1.5856123948388732
-20.5,,,,,,,0.1377,10.4,1.5856123948388732
-20.0,,,,,,,0.1377,10.4,1.5856123948388732
-19.5,,,,,,,0.1377,10.4,1.5856123948388732
-19.0,,,,,,,0.1377,10.4,1.5856123948388732
-18.5,,,,,,,0.1377,10.4,1.5856123948388732
-18.0,,,,,,,0.1377,10.4,1.5856123948388732
-17.5,,,,,,,0.1377,10.4,1.5856123948388732
-17.0,,,,,,,0.1377,10.4,1.5856123948388732
-16.5,,,,,,,0.1377,10.4,1.5856123948388732
-16.0,,,,,,,0.1377,10.4,1.5856123948388732
-15.5,,,,,,,0.1377,10.4,1.5856123948388732
-15.0,,3.901989938063002,49.87176292686824,,22.0442062565818,25.6859400588597,0.1377,10.4,1.5856123948388732
-14.5,,,,,,,0.1377,10.4,1.5856123948388732
-14.0,,,,,,,0.1377,10.4,1.5856123948388732
-13.5,,,,,,,0.1377,10.4,1.5856123948388732
-13.0,,68.26133631496172,-22.569291387148017,,22.0772025338066,25.6125124022521,0.1377,10.4,1.5856123948388732
-12.5,,,,,,,0.1377,10.4,1.5856123948388732
-12.0,,,,,,,0.1377,10.4,1.5856123948388732
-11.5,,,,,,,0.1377,10.4,1.5856123948388732
-11.0,,49.16105077336602,27.291586708435528,,26.3687336145511,27.6659220167396,0.1377,10.4,1.5856123948388732
-10.5,,,,,,,0.1377,10.4,1.5856123948388732
-10.0,,,,,,,0.1377,10.4,1.5856123948388732
-9.5,,,,,,,0.1377,10.4,1.5856123948388732
-9.0,,43.68359347945932,-3.3466225128140876,,30.4075166241549,26.4426736507402,0.1377,10.4,1.5856123948388732
-8.5,,,,,,,0.1377,10.4,1.5856123948388732
-8.0,,,,,,,0.1377,10.4,1.5856123948388732
-7.5,,,,,,,0.1377,10.4,1.5856123948388732
-7.0,,74.92463141119023,53.36124633382468,,21.822952414618,22.1895181199714,0.1377,10.4,1.5856123948388732
-6.5,,,,,,,0.1377,10.4,1.5856123948388732
-6.0,,,,,,,0.1377,10.4,1.5856123948388732
-5.5,,,,,,,0.1377,10.4,1.5856123948388732
-5.0,,163.21784076062508,75.08028070522093,,27.9239248140381,26.7817228768384,0.1377,10.4,1.5856123948388732
-4.5,,,,,,,0.1377,10.4,1.5856123948388732
-4.0,,,,,,,0.1377,10.4,1.5856123948388732
-3.5,,,,,,,0.1377,10.4,1.5856123948388732
-3.0,,267.10132815161876,,,25.7855288237142,,0.1377,10.4,1.5856123948388732
-2.5,,,,,,,0.1377,10.4,1.5856123948388732
-2.0,,,,,,,0.1377,10.4,1.5856123948388732
-1.5,,,,,,,0.1377,10.4,1.5856123948388732
-1.0,,,,,,,0.1377,10.4,1.5856123948388732
-0.5,1124.2898071791558,,,125.46923218982562,,,0.1377,10.4,1.5856123948388732
