relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0263,11.6,1.588276494261066
-29.5,,,,,,,0.0263,11.6,1.588276494261066
-29.0,,,,,,,0.0263,11.6,1.588276494261066
-28.5,,,,,,,0.0263,11.6,1.588276494261066
-28.0,,,,,,,0.0263,11.6,1.588276494261066
-27.5,,,,,,,0.0263,11.6,1.588276494261066
-27.0,,,,,,,0.0263,11.6,1.588276494261066
-26.5,,,,,,,0.0263,11.6,1.588276494261066
-26.0,,,,,,,0.0263,11.6,1.588276494261066
-25.5,,,,,,,0.0263,11.6,1.588276494261066
-25.0,,,,,,,0.0263,11.6,1.588276494261066
-24.5,,,,,,,0.0263,11.6,1.588276494261066
-24.0,,,,,,,0.0263,11.6,1.588276494261066
-23.5,,,,,,,0.0263,11.6,1.588276494261066
-23.0,,,,,,,0.0263,11.6,1.588276494261066
-22.5,,,,,,,0.0263,11.6,1.588276494261066
-22.0,,,,,,,0.0263,11.6,1.588276494261066
-21.5,,,,,,,0.0263,11.6,1.588276494261066
-21.0,,,,,,,0.0263,11.6,1.588276494261066
-20.5,,,,,,,0.0263,11.6,1.588276494261066
-20.0,,,,,,,0.0263,11.6,1.588276494261066
-19.5,,,,,,,0.0263,11.6,1.588276494261066
-19.0,,,,,,,0.0263,11.6,1.588276494261066
-18.5,,,,,,,0.0263,11.6,1.588276494261066
-18.0,,,,,,,0.0263,11.6,1.588276494261066
-17.5,,,,,,,0.0263,11.6,1.588276494261066
-17.0,,,,,,,0.0263,11.6,1.588276494261066
-16.5,,,,,,,0.0263,11.6,1.588276494261066
-16.0,,,,,,,0.0263,11.6,1.588276494261066
-15.5,,,,,,,0.0263,11.6,1.588276494261066
-15.0,,-11.090285941814562,-57.32978008585034,,49.4371081948189,55.3638128136628,0.0263,11.6,1.588276494261066
-14.5,,,,,,,0.0263,11.6,1.588276494261066
-14.0,,,,,,,0.0263,11.6,1.588276494261066
-13.5,,,,,,,0.0263,11.6,1.588276494261066
-13.0,,,,,,,0.0263,11.6,1.588276494261066
-12.5,,,,,,,0.0263,11.6,1.588276494261066
-12.0,,,,,,,0.0263,11.6,1.588276494261066
-11.5,,,,,,,0.0263,11.6,1.588276494261066
-11.0,,,,,,,0.0263,11.6,1.588276494261066
-10.5,,,,,,,0.0263,11.6,1.588276494261066
-10.0,,,,,,,0.0263,11.6,1.588276494261066
-9.5,,,,,,,0.0263,11.6,1.588276494261066
-9.0,,,,,,,0.0263,11.6,1.588276494261066
-8.5,,,,,,,0.0263,11.6,1.588276494261066
-8.0,,,,,,,0.0263,11.6,1.588276494261066
-7.5,,,,,,,0.0263,11.6,1.588276494261066
-7.0,,,,,,,0.0263,11.6,1.588276494261066
-6.5,,,,,,,0.0263,11.6,1.588276494261066
-6.0,,,,,,,0.0263,11.6,1.588276494261066
-5.5,-32.796461675859334,,,344.40901498021236,,,0.0263,11.6,1.588276494261066
-5.0,-67.87336035158118,,,314.2931171833154,,,0.0263,11.6,1.588276494261066
-4.5,-128.37139581459428,,,286.756834313154,,,0.0263,11.6,1.588276494261066
-4.0,-113.95734352871503,,,273.54433389391534,,,0.0263,11.6,1.588276494261066
-3.5,-46.80289052028712,,,266.9533653376803,,,0.0263,11.6,1.588276494261066
-3.0,59.45273089740325,,,262.2431305203411,,,0.0263,11.6,1.588276494261066
-2.5,-37.63513832409705,,,259.80963572709805,,,0.0263,11.6,1.588276494261066
-2.0,172.14842241032193,,,258.2079348392444,,,0.0263,11.6,1.588276494261066
-1.5,100.52393008156857,,,257.91325007375434,,,0.0263,11.6,1.588276494261066
-1.0,166.6594400102031,,,256.8949799934741,,,0.0263,11.6,1.588276494261066
-0.5,203.73307813333753,,,255.83176805032204,,,0.0263,11.6,1.588276494261066
0.0,171.84807060815984,,,254.80904919399384,,,0.0263,11.6,1.588276494261066
0.5,273.5835255081307,,,255.81860106256158,,,0.0263,11.6,1.588276494261066
1.0,447.73359299618943,,,256.99252085370154,,,0.0263,11.6,1.588276494261066
1.5,484.26785401673897,,,257.33910556024347,,,0.0263,11.6,1.588276494261066
2.0,592.6952250082845,,,255.97997316824953,,,0.0263,11.6,1.588276494261066
2.5,578.9531359940624,,,256.115839637957,,,0.0263,11.6,1.588276494261066
3.0,707.5831240261002,,,257.21239829762345,,,0.0263,11.6,1.588276494261066
3.5,630.0944853503975,,,257.3805514560116,,,0.0263,11.6,1.588276494261066
4.0,712.5894086639789,,,256.29570880086294,,,0.0263,11.6,1.588276494261066
4.5,804.6453018260208,,,256.6056951981592,,,0.0263,11.6,1.588276494261066
