relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0288,10.1,4.565883144462733
-29.5,,,,,,,0.0288,10.1,4.565883144462733
-29.0,,,,,,,0.0288,10.1,4.565883144462733
-28.5,,,,,,,0.0288,10.1,4.565883144462733
-28.0,,,,,,,0.0288,10.1,4.565883144462733
-27.5,,,,,,,0.0288,10.1,4.565883144462733
-27.0,,,,,,,0.0288,10.1,4.565883144462733
-26.5,,,,,,,0.0288,10.1,4.565883144462733
-26.0,,,,,,,0.0288,10.1,4.565883144462733
-25.5,,,,,,,0.0288,10.1,4.565883144462733
-25.0,,,,,,,0.0288,10.1,4.565883144462733
-24.5,,,,,,,0.0288,10.1,4.565883144462733
-24.0,,,,,,,0.0288,10.1,4.565883144462733
-23.5,,,,,,,0.0288,10.1,4.565883144462733
-23.0,,,,,,,0.0288,10.1,4.565883144462733
-22.5,,,,,,,0.0288,10.1,4.565883144462733
-22.0,,,,,,,0.0288,10.1,4.565883144462733
-21.5,,,,,,,0.0288,10.1,4.565883144462733
-21.0,,,,,,,0.0288,10.1,4.565883144462733
-20.5,,,,,,,0.0288,10.1,4.565883144462733
-20.0,,,,,,,0.0288,10.1,4.565883144462733
-19.5,,,,,,,0.0288,10.1,4.565883144462733
-19.0,,,,,,,0.0288,10.1,4.565883144462733
-18.5,,,,,,,0.0288,10.1,4.565883144462733
-18.0,,,,,,,0.0288,10.1,4.565883144462733
-17.5,,,,,,,0.0288,10.1,4.565883144462733
-17.0,,,,,,,0.0288,10.1,4.565883144462733
-16.5,,,,,,,0.0288,10.1,4.565883144462733
-16.0,,,,,,,0.0288,10.1,4.565883144462733
-15.5,,,,,,,0.0288,10.1,4.565883144462733
-15.0,,,,,,,0.0288,10.1,4.565883144462733
-14.5,,,,,,,0.0288,10.1,4.565883144462733
-14.0,,,,,,,0.0288,10.1,4.565883144462733
-13.5,,,,,,,0.0288,10.1,4.565883144462733
-13.0,,,,,,,0.0288,10.1,4.565883144462733
-12.5,,,,,,,0.0288,10.1,4.565883144462733
-12.0,,,,,,,0.0288,10.1,4.565883144462733
-11.5,,,,,,,0.0288,10.1,4.565883144462733
-11.0,,,,,,,0.0288,10.1,4.565883144462733
-10.5,,,,,,,0.0288,10.1,4.565883144462733
-10.0,,,,,,,0.0288,10.1,4.565883144462733
-9.5,,,,,,,0.0288,10.1,4.565883144462733
-9.0,,,,,,,0.0288,10.1,4.565883144462733
-8.5,,,,,,,0.0288,10.1,4.565883144462733
-8.0,,,,,,,0.0288,10.1,4.565883144462733
-7.5,,,,,,,0.0288,10.1,4.565883144462733
-7.0,-412.4263558577325,,,253.81657828733842,,,0.0288,10.1,4.565883144462733
-6.5,-78.48492503839331,,,241.98960681731262,,,0.0288,10.1,4.565883144462733
-6.0,50.59492535660323,,,235.907852562764,,,0.0288,10.1,4.565883144462733
-5.5,160.54131269467436,,,231.06753932258533,,,0.0288,10.1,4.565883144462733
-5.0,295.20172160379565,,,230.10893603525395,,,0.0288,10.1,4.565883144462733
-4.5,267.360561979875,,,229.06103948825756,,,0.0288,10.1,4.565883144462733
-4.0,413.19613472751513,,,229.45058762117824,,,0.0288,10.1,4.565883144462733
-3.5,426.79518333834415,,,231.39033906467878,,,0.0288,10.1,4.565883144462733
-3.0,562.4926779826582,,,234.79838113637877,,,0.0288,10.1,4.565883144462733
-2.5,558.9174787445102,,,235.05549699852892,,,0.0288,10.1,4.565883144462733
-2.0,848.3373546181966,,,231.81592734258828,,,0.0288,10.1,4.565883144462733
-1.5,813.5866702725609,,,227.66990451720727,,,0.0288,10.1,4.565883144462733
-1.0,1137.8756576322082,,,231.96159853212941,,,0.0288,10.1,4.565883144462733
-0.5,1114.3918843056713,,,233.5299776636523,,,0.0288,10.1,4.565883144462733
0.0,1247.6239345041145,,,234.4639871832922,,,0.0288,10.1,4.565883144462733
0.5,1460.5247487547413,,,232.69571496001387,,,0.0288,10.1,4.565883144462733
1.0,1531.2273700481087,,,229.35136148082907,,,0.0288,10.1,4.565883144462733
1.5,1746.574195528326,,,231.7616507781825,,,0.0288,10.1,4.565883144462733
2.0,1835.875192968999,,,234.3991460812719,,,0.0288,10.1,4.565883144462733
2.5,1921.218293235445,,,235.19447231627453,,,0.0288,10.1,4.565883144462733
3.0,1985.139444600676,,,237.32572038618684,,,0.0288,10.1,4.565883144462733
3.5,2168.1332238738173,,,240.978329057916,,,0.0288,10.1,4.565883144462733
4.0,2049.2197758992825,,,241.68341723513063,,,0.0288,10.1,4.565883144462733
4.5,,,,,,,0.0288,10.1,4.565883144462733
5.0,,,,,,,0.0288,10.1,4.565883144462733
5.5,,,,,,,0.0288,10.1,4.565883144462733
6.0,,,,,,,0.0288,10.1,4.565883144462733
6.5,,,,,,,0.0288,10.1,4.565883144462733
7.0,,,,,,,0.0288,10.1,4.565883144462733
7.5,,,,,,,0.0288,10.1,4.565883144462733
8.0,2009.6132986383664,,,253.05256563587443,,,0.0288,10.1,4.565883144462733
8.5,2319.746298845302,,,244.73327086480072,,,0.0288,10.1,4.565883144462733
9.0,2517.469251093676,,,237.24050602537997,,,0.0288,10.1,4.565883144462733
9.5,2477.8805578408264,,,234.95050403622218,,,0.0288,10.1,4.565883144462733
10.0,2462.2111099870467,,,234.61497230319776,,,0.0288,10.1,4.565883144462733
10.5,2435.469685765825,,,235.5204746546575,,,0.0288,10.1,4.565883144462733
11.0,2498.389314280429,,,235.06735787840748,,,0.0288,10.1,4.565883144462733
11.5,2517.1852463562586,,,235.27445266091308,,,0.0288,10.1,4.565883144462733
12.0,2487.298189927016,,,235.59623616311566,,,0.0288,10.1,4.565883144462733
12.5,2390.678143711215,,,235.2819598044354,,,0.0288,10.1,4.565883144462733
13.0,2299.041642713951,,,233.00634886294787,,,0.0288,10.1,4.565883144462733
13.5,2228.9481410738586,,,234.68209546343024,,,0.0288,10.1,4.565883144462733
14.0,2217.772858398089,,,235.56627902089778,,,0.0288,10.1,4.565883144462733
14.5,2172.8811005391317,,,235.11386191197434,,,0.0288,10.1,4.565883144462733
15.0,2005.8161991656848,,,236.0771460198653,,,0.0288,10.1,4.565883144462733
15.5,1856.8635521117237,,,235.7662065564343,,,0.0288,10.1,4.565883144462733
16.0,1784.7717724368874,,,237.20252876242324,,,0.0288,10.1,4.565883144462733
16.5,1696.7590791810067,,,235.80825721950364,,,0.0288,10.1,4.565883144462733
17.0,1672.359135875711,,,237.82875353894514,,,0.0288,10.1,4.565883144462733
17.5,1634.5227194793247,,,241.5595798406708,,,0.0288,10.1,4.565883144462733
18.0,1606.0423590455903,,,242.4444250723112,,,0.0288,10.1,4.565883144462733
18.5,,,,,,,0.0288,10.1,4.565883144462733
19.0,,,,,,,0.0288,10.1,4.565883144462733
19.5,,,,,,,0.0288,10.1,4.565883144462733
20.0,,,,,,,0.0288,10.1,4.565883144462733
20.5,,,,,,,0.0288,10.1,4.565883144462733
21.0,,,,,,,0.0288,10.1,4.565883144462733
21.5,,,,,,,0.0288,10.1,4.565883144462733
22.0,,,,,,,0.0288,10.1,4.565883144462733
22.5,,,,,,,0.0288,10.1,4.565883144462733
23.0,,,,,,,0.0288,10.1,4.565883144462733
23.5,,,,,,,0.0288,10.1,4.565883144462733
24.0,,,,,,,0.0288,10.1,4.565883144462733
24.5,,,,,,,0.0288,10.1,4.565883144462733
25.0,,,,,,,0.0288,10.1,4.565883144462733
25.5,,,,,,,0.0288,10.1,4.565883144462733
26.0,,,,,,,0.0288,10.1,4.565883144462733
26.5,,,,,,,0.0288,10.1,4.565883144462733
27.0,,,,,,,0.0288,10.1,4.565883144462733
27.5,,,,,,,0.0288,10.1,4.565883144462733
28.0,,,,,,,0.0288,10.1,4.565883144462733
28.5,,,,,,,0.0288,10.1,4.565883144462733
29.0,,,,,,,0.0288,10.1,4.565883144462733
29.5,,,,,,,0.0288,10.1,4.565883144462733
30.0,,,,,,,0.0288,10.1,4.565883144462733
30.5,,,,,,,0.0288,10.1,4.565883144462733
31.0,,,,,,,0.0288,10.1,4.565883144462733
31.5,,,,,,,0.0288,10.1,4.565883144462733
32.0,,,,,,,0.0288,10.1,4.565883144462733
32.5,,,,,,,0.0288,10.1,4.565883144462733
33.0,,,,,,,0.0288,10.1,4.565883144462733
33.5,,,,,,,0.0288,10.1,4.565883144462733
34.0,,,168.28742214967548,,,48.0783483358108,0.0288,10.1,4.565883144462733
34.5,,,,,,,0.0288,10.1,4.565883144462733
35.0,,,,,,,0.0288,10.1,4.565883144462733
35.5,,,,,,,0.0288,10.1,4.565883144462733
36.0,,1153.8884216140088,235.04270710608768,,56.1632278736255,49.2605033865182,0.0288,10.1,4.565883144462733
36.5,,,,,,,0.0288,10.1,4.565883144462733
37.0,,,,,,,0.0288,10.1,4.565883144462733
37.5,,,,,,,0.0288,10.1,4.565883144462733
38.0,,,,,,,0.0288,10.1,4.565883144462733
38.5,,,,,,,0.0288,10.1,4.565883144462733
39.0,,1005.7908892013135,,,87.7120810871211,,0.0288,10.1,4.565883144462733
39.5,,,,,,,0.0288,10.1,4.565883144462733
40.0,,,,,,,0.0288,10.1,4.565883144462733
40.5,,,,,,,0.0288,10.1,4.565883144462733
41.0,,833.5707899107149,27.051989643564564,,53.8705034163424,64.278668756196,0.0288,10.1,4.565883144462733
41.5,,,,,,,0.0288,10.1,4.565883144462733
42.0,,,,,,,0.0288,10.1,4.565883144462733
42.5,,,,,,,0.0288,10.1,4.565883144462733
43.0,,,,,,,0.0288,10.1,4.565883144462733
43.5,,,,,,,0.0288,10.1,4.565883144462733
44.0,,,,,,,0.0288,10.1,4.565883144462733
44.5,,,,,,,0.0288,10.1,4.565883144462733
45.0,,,,,,,0.0288,10.1,4.565883144462733
45.5,,,,,,,0.0288,10.1,4.565883144462733
46.0,,,,,,,0.0288,10.1,4.565883144462733
46.5,,,,,,,0.0288,10.1,4.565883144462733
47.0,,,,,,,0.0288,10.1,4.565883144462733
47.5,,560.3558584079757,43.41907244573746,,26.0899335159439,12.2509808027824,0.0288,10.1,4.565883144462733
48.0,,,,,,,0.0288,10.1,4.565883144462733
48.5,,,,,,,0.0288,10.1,4.565883144462733
